id,est_psi03,est_psi13,est_psi23,method,p_I,ph,seed,psi03,psi13,psi23,sigma
1,1.0010006488433993,0.9986362545839127,0.9998518821346934,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
2,1.0022663316455809,1.001918860892726,0.9986450224413606,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
3,1.0027209085462283,0.9969914048355559,1.00445930721336,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
4,1.0014428461775646,0.9991373746081208,1.0017415170352195,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
5,1.0028022102315997,0.9996076114985197,1.0011412139993952,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
6,0.999902574240743,1.0010690172268701,1.0060613455498124,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
7,1.0005682213177949,0.9996940534091221,0.9969295408473198,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
8,0.9991099368521258,1.001816002363275,1.002793672116281,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
9,0.9968330920101433,1.002072524532871,1.0010101183132272,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
10,0.9993513146691863,1.0033682348607211,1.0032196655314871,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
11,0.9991110086540123,0.9998375825528858,1.0019372274317866,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
12,0.9995109040623127,0.9976021480374253,1.0004904042732763,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
13,1.003251109423,0.9980256815544155,1.0026957239375565,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
14,0.9922882630246118,0.993849297949003,1.0048244506436466,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
15,1.0012210475790249,0.999283923739701,0.9950656805935839,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
16,0.9977339726402858,0.9969926240099064,0.9976914452916783,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
17,1.0008004427813462,0.9982247424704193,0.9959788870143116,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
18,1.0003639843510728,0.9999385973415172,0.9996545977817828,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
19,1.0005239240061274,0.9980797129627995,1.0017903152605283,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
20,0.9986816206833727,0.9968205573756889,0.996290812057835,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
21,0.9971097470768715,1.0012399322982164,1.0007132380458352,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
22,0.9966207137270359,1.0028470015571898,0.9991961393182581,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
23,1.0012969179606883,1.001228874871231,0.9990295150449716,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
24,1.0017044075873989,0.998232641798211,1.0021292798209933,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
25,1.00076913389573,1.0022436428453305,1.0056968093635432,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
26,0.9966606420546221,0.9925429128379016,1.0010123223557648,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
27,1.0019936407356405,1.0038391175300512,0.9962877783410661,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
28,0.9997253412567922,0.9991473843670498,0.9988257755584101,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
29,0.9986621378539388,1.0069245585955058,1.0014426574627402,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
30,1.0007275393475208,1.0056907904797958,1.0054073172043938,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
31,0.998017224098004,1.0028630528320635,0.9937677422683159,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
32,0.9981464088333335,1.0015927932364068,1.00037759115787,Three-step,0.25,0.4,3411,1.0,1.0,1.0,0
