p_I1,p_I2,ph1,ph2,method,n,bias,var,se,z,sig
0.2,0.2,0.8,0.5,GMM estimator,300,-0.004527445119337156,0.039292754369072404,0.01144446800410172,-0.39560118632989416,False
0.2,0.2,0.8,0.5,Simple g-estimator,300,-0.0030597735322449066,0.039955042422837414,0.01154051449211825,-0.2651331995930181,False
0.2,0.2,0.8,0.5,Three-step estimator,300,-0.003059773531835683,0.039955042409553006,0.011540514490199733,-0.2651331996016347,False
0.2,0.2,0.8,0.8,GMM estimator,300,-0.010666292039642231,0.056480872090465296,0.013721136018379976,-0.777362167779281,False
0.2,0.2,0.8,0.8,Simple g-estimator,300,-0.018328855783558917,0.05202199228986184,0.013168395534999931,-1.3918822330968974,False
0.2,0.2,0.8,0.8,Three-step estimator,300,-0.018328855781212246,0.05202199229077937,0.013168395535116059,-1.391882232906418,False
0.2,1.0,0.2,0.2,GMM estimator,300,-0.01172002921031037,0.01516576815376326,0.007110032384774643,-1.6483791600453932,False
0.2,1.0,0.2,0.2,Simple g-estimator,300,-0.0004900937509855551,0.01491671343381556,0.0070514096542973964,-0.06950294693017493,False
0.2,1.0,0.2,0.2,Three-step estimator,300,-0.0004900937508474073,0.014916713433658135,0.007051409654260188,-0.06950294691095016,False
0.2,1.0,0.2,0.5,GMM estimator,300,-0.008071116221188364,0.012945953354475941,0.00656910784264143,-1.228647240162064,False
0.2,1.0,0.2,0.5,Simple g-estimator,300,-0.001410560518199313,0.011836818189370152,0.006281405943834059,-0.2245612735129696,False
0.2,1.0,0.2,0.5,Three-step estimator,300,-0.001410560517958488,0.011836818189624829,0.006281405943901633,-0.22456127347221447,False
0.2,1.0,0.2,0.8,GMM estimator,300,-0.0010022459439839961,0.016491128162815293,0.00741420442187726,-0.13517916245020792,False
0.2,1.0,0.2,0.8,Simple g-estimator,300,0.0005837313985551869,0.016960359777911993,0.007518944912222723,0.07763474867414959,False
0.2,1.0,0.2,0.8,Three-step estimator,300,0.0005837313986184217,0.01696035977796043,0.00751894491223346,0.0776347486824488,False
0.2,1.0,0.5,0.2,GMM estimator,300,-0.003367816994242234,0.014168162552312652,0.006872205505346071,-0.4900634871326709,False
0.2,1.0,0.5,0.2,Simple g-estimator,300,0.007587939474006017,0.013513220259775045,0.006711487728706913,1.1305897858607823,False
