 p_I1  p_I2  ph1  ph2               method  mean_psi03  var_psi03  mse_psi03  coverage_psi03
  0.2   0.2  0.2  0.2        GMM estimator   -0.190715   0.415506   0.451878        0.940000
  0.2   0.2  0.2  0.2   Simple g-estimator   -0.057904   0.415016   0.418369        0.943333
  0.2   0.2  0.2  0.2 Three-step estimator   -0.065913   0.462340   0.466684        0.930000
  0.2   0.2  0.2  0.5        GMM estimator   -0.075208   0.112426   0.118083        0.933333
  0.2   0.2  0.2  0.5   Simple g-estimator   -0.030545   0.116434   0.117367        0.943333
  0.2   0.2  0.2  0.5 Three-step estimator   -0.030041   0.149999   0.150902        0.946667
  0.2   0.2  0.2  0.8        GMM estimator   -0.072339   0.076695   0.081928        0.943333
  0.2   0.2  0.2  0.8   Simple g-estimator   -0.043095   0.074117   0.075974        0.943333
  0.2   0.2  0.2  0.8 Three-step estimator   -0.030987   0.090169   0.091129        0.943333
  0.2   0.2  0.5  0.2        GMM estimator   -0.109429   0.127779   0.139754        0.936667
  0.2   0.2  0.5  0.2   Simple g-estimator   -0.038760   0.129086   0.130589        0.933333
  0.2   0.2  0.5  0.2 Three-step estimator   -0.033909   0.147131   0.148280        0.950000
  0.2   0.2  0.5  0.5        GMM estimator   -0.019282   0.049033   0.049405        0.950000
  0.2   0.2  0.5  0.5   Simple g-estimator   -0.002132   0.052965   0.052970        0.950000
  0.2   0.2  0.5  0.5 Three-step estimator   -0.001846   0.047720   0.047723        0.936667
  0.2   0.2  0.5  0.8        GMM estimator   -0.025238   0.025602   0.026239        0.943333
  0.2   0.2  0.5  0.8   Simple g-estimator   -0.015664   0.024935   0.025181        0.943333
  0.2   0.2  0.5  0.8 Three-step estimator   -0.016480   0.029080   0.029352        0.940000
  0.2   0.2  0.8  0.2        GMM estimator   -0.034265   0.093038   0.094212        0.936667
  0.2   0.2  0.8  0.2   Simple g-estimator    0.019234   0.094653   0.095023        0.950000
  0.2   0.2  0.8  0.2 Three-step estimator   -0.004903   0.108069   0.108093        0.943333
  0.2   0.2  0.8  0.5        GMM estimator   -0.004468   0.033234   0.033254        0.950000
  0.2   0.2  0.8  0.5   Simple g-estimator    0.014617   0.033879   0.034093        0.940000
  0.2   0.2  0.8  0.5 Three-step estimator    0.010360   0.039352   0.039460        0.946667
  0.2   0.2  0.8  0.8        GMM estimator   -0.008716   0.017826   0.017902        0.943333
  0.2   0.2  0.8  0.8   Simple g-estimator    0.004148   0.017948   0.017965        0.946667
  0.2   0.2  0.8  0.8 Three-step estimator   -0.008211   0.017375   0.017443        0.936667
  0.2   1.0  0.2  0.2        GMM estimator   -0.054096   0.230930   0.233856        0.946667
  0.2   1.0  0.2  0.2   Simple g-estimator    0.008336   0.216016   0.216085        0.946667
  0.2   1.0  0.2  0.2 Three-step estimator   -0.066740   0.455787   0.460241        0.933333
  0.2   1.0  0.2  0.5        GMM estimator   -0.062719   0.097756   0.101689        0.950000
  0.2   1.0  0.2  0.5   Simple g-estimator   -0.018113   0.087212   0.087540        0.940000
  0.2   1.0  0.2  0.5 Three-step estimator   -0.026092   0.150845   0.151525        0.946667
  0.2   1.0  0.2  0.8        GMM estimator   -0.062079   0.065345   0.069199        0.943333
  0.2   1.0  0.2  0.8   Simple g-estimator   -0.026464   0.063305   0.064005        0.950000
  0.2   1.0  0.2  0.8 Three-step estimator   -0.027307   0.090338   0.091084        0.946667
  0.2   1.0  0.5  0.2        GMM estimator   -0.042063   0.065278   0.067047        0.933333
  0.2   1.0  0.5  0.2   Simple g-estimator   -0.015792   0.068860   0.069109        0.946667
  0.2   1.0  0.5  0.2 Three-step estimator   -0.033867   0.149541   0.150688        0.950000
  0.2   1.0  0.5  0.5        GMM estimator   -0.021101   0.031152   0.031598        0.936667
  0.2   1.0  0.5  0.5   Simple g-estimator   -0.014955   0.032860   0.033084        0.940000
  0.2   1.0  0.5  0.5 Three-step estimator   -0.002808   0.048260   0.048268        0.940000
  0.2   1.0  0.5  0.8        GMM estimator   -0.034824   0.022344   0.023557        0.943333
  0.2   1.0  0.5  0.8   Simple g-estimator   -0.020104   0.020989   0.021394        0.936667
  0.2   1.0  0.5  0.8 Three-step estimator   -0.016849   0.028887   0.029171        0.940000
  0.2   1.0  0.8  0.2        GMM estimator   -0.006355   0.055094   0.055135        0.946667
  0.2   1.0  0.8  0.2   Simple g-estimator    0.023414   0.056509   0.057058        0.946667
  0.2   1.0  0.8  0.2 Three-step estimator   -0.005197   0.108203   0.108230        0.943333
  0.2   1.0  0.8  0.5        GMM estimator    0.005769   0.027123   0.027156        0.946667
  0.2   1.0  0.8  0.5   Simple g-estimator    0.016277   0.026855   0.027120        0.943333
  0.2   1.0  0.8  0.5 Three-step estimator    0.009876   0.039305   0.039403        0.950000
  0.2   1.0  0.8  0.8        GMM estimator   -0.003988   0.017821   0.017837        0.936667
  0.2   1.0  0.8  0.8   Simple g-estimator    0.011419   0.016934   0.017064        0.943333
  0.2   1.0  0.8  0.8 Three-step estimator   -0.008218   0.017338   0.017406        0.936667
  1.0   0.2  0.2  0.2        GMM estimator   -0.103975   0.262496   0.273307        0.946667
  1.0   0.2  0.2  0.2   Simple g-estimator   -0.014463   0.271526   0.271735        0.956667
  1.0   0.2  0.2  0.2 Three-step estimator   -0.071843   0.459666   0.464827        0.926667
  1.0   0.2  0.2  0.5        GMM estimator   -0.011943   0.073833   0.073975        0.940000
