 p_I1  p_I2  ph1  ph2               method  mean_psi03  var_psi03  mse_psi03  coverage_psi03
  1.0   0.2  0.2  0.5   Simple g-estimator    0.004982   0.073765   0.073790        0.943333
  1.0   0.2  0.2  0.5 Three-step estimator   -0.025101   0.152581   0.153211        0.946667
  1.0   0.2  0.2  0.8        GMM estimator   -0.017596   0.055896   0.056205        0.940000
  1.0   0.2  0.2  0.8   Simple g-estimator   -0.010959   0.051713   0.051833        0.946667
  1.0   0.2  0.2  0.8 Three-step estimator   -0.034162   0.089840   0.091007        0.943333
  1.0   0.2  0.5  0.2        GMM estimator   -0.080022   0.106763   0.113167        0.940000
  1.0   0.2  0.5  0.2   Simple g-estimator   -0.020551   0.105548   0.105970        0.936667
  1.0   0.2  0.5  0.2 Three-step estimator   -0.027439   0.147863   0.148616        0.950000
  1.0   0.2  0.5  0.5        GMM estimator   -0.011041   0.037250   0.037372        0.936667
  1.0   0.2  0.5  0.5   Simple g-estimator    0.003259   0.038386   0.038396        0.943333
  1.0   0.2  0.5  0.5 Three-step estimator   -0.002545   0.048139   0.048145        0.940000
  1.0   0.2  0.5  0.8        GMM estimator   -0.017617   0.022359   0.022670        0.946667
  1.0   0.2  0.5  0.8   Simple g-estimator   -0.011889   0.022879   0.023021        0.940000
  1.0   0.2  0.5  0.8 Three-step estimator   -0.016524   0.029002   0.029275        0.936667
  1.0   0.2  0.8  0.2        GMM estimator   -0.030705   0.080335   0.081278        0.936667
  1.0   0.2  0.8  0.2   Simple g-estimator    0.012931   0.089151   0.089318        0.953333
  1.0   0.2  0.8  0.2 Three-step estimator   -0.002687   0.108056   0.108063        0.946667
  1.0   0.2  0.8  0.5        GMM estimator    0.002182   0.028475   0.028479        0.943333
  1.0   0.2  0.8  0.5   Simple g-estimator   -0.000589   0.030139   0.030140        0.943333
  1.0   0.2  0.8  0.5 Three-step estimator    0.013510   0.039268   0.039450        0.946667
  1.0   0.2  0.8  0.8        GMM estimator   -0.005918   0.017101   0.017136        0.946667
  1.0   0.2  0.8  0.8   Simple g-estimator   -0.004823   0.016689   0.016712        0.946667
  1.0   0.2  0.8  0.8 Three-step estimator   -0.008458   0.017383   0.017454        0.936667
  1.0   1.0  0.2  0.2        GMM estimator   -0.032462   0.144177   0.145231        0.946667
  1.0   1.0  0.2  0.2   Simple g-estimator    0.013699   0.158031   0.158219        0.946667
  1.0   1.0  0.2  0.2 Three-step estimator   -0.060430   0.459785   0.463437        0.933333
  1.0   1.0  0.2  0.5        GMM estimator   -0.017776   0.056529   0.056845        0.946667
  1.0   1.0  0.2  0.5   Simple g-estimator   -0.001716   0.066512   0.066514        0.953333
  1.0   1.0  0.2  0.5 Three-step estimator   -0.028206   0.150492   0.151287        0.946667
  1.0   1.0  0.2  0.8        GMM estimator   -0.016894   0.046004   0.046289        0.943333
  1.0   1.0  0.2  0.8   Simple g-estimator   -0.009664   0.046545   0.046638        0.943333
  1.0   1.0  0.2  0.8 Three-step estimator   -0.029411   0.090327   0.091192        0.943333
  1.0   1.0  0.5  0.2        GMM estimator   -0.022519   0.058544   0.059051        0.940000
  1.0   1.0  0.5  0.2   Simple g-estimator   -0.007967   0.058790   0.058853        0.943333
  1.0   1.0  0.5  0.2 Three-step estimator   -0.030264   0.148161   0.149077        0.950000
  1.0   1.0  0.5  0.5        GMM estimator   -0.012434   0.026413   0.026568        0.940000
  1.0   1.0  0.5  0.5   Simple g-estimator    0.001014   0.027918   0.027919        0.946667
  1.0   1.0  0.5  0.5 Three-step estimator   -0.000725   0.048306   0.048306        0.940000
  1.0   1.0  0.5  0.8        GMM estimator   -0.014353   0.020189   0.020395        0.940000
  1.0   1.0  0.5  0.8   Simple g-estimator   -0.007937   0.019710   0.019773        0.950000
  1.0   1.0  0.5  0.8 Three-step estimator   -0.016319   0.028989   0.029256        0.940000
  1.0   1.0  0.8  0.2        GMM estimator   -0.019064   0.047438   0.047801        0.946667
  1.0   1.0  0.8  0.2   Simple g-estimator    0.016519   0.052810   0.053083        0.953333
  1.0   1.0  0.8  0.2 Three-step estimator   -0.006458   0.108192   0.108234        0.946667
  1.0   1.0  0.8  0.5        GMM estimator   -0.005107   0.021943   0.021969        0.946667
  1.0   1.0  0.8  0.5   Simple g-estimator    0.005969   0.022760   0.022796        0.943333
  1.0   1.0  0.8  0.5 Three-step estimator    0.014140   0.039061   0.039261        0.946667
  1.0   1.0  0.8  0.8        GMM estimator   -0.009298   0.015564   0.015650        0.946667
  1.0   1.0  0.8  0.8   Simple g-estimator   -0.003735   0.016058   0.016072        0.946667
  1.0   1.0  0.8  0.8 Three-step estimator   -0.009033   0.017355   0.017437        0.936667
Saved plot to /Users/fuyuguo/PhD_thesis/Thesis_1_SNTTEM/Codes/three_time_binary/psi0_python/n24000/simulation_results_plots.pdf
