p_I1,p_I2,ph1,ph2,method,n,bias,var,se,z,sig
0.2,0.2,0.2,0.2,GMM estimator,300,-0.025944117201597686,0.38985498721957196,0.03604880891326702,-0.7196941586619104,False
0.2,0.2,0.2,0.2,Simple g-estimator,300,0.05780855804843488,0.3857237866007068,0.0358572998890838,1.6121838015481416,False
0.2,0.2,0.2,0.2,Three-step estimator,300,0.0567198457331086,0.3834721788483858,0.035752490768634376,1.586458579911553,False
0.2,0.2,0.2,0.5,GMM estimator,300,-0.04355079522304877,0.12246104258508951,0.02020404601270824,-2.1555482102770673,True
0.2,0.2,0.2,0.5,Simple g-estimator,300,-0.0009460727341843585,0.10328545239280523,0.0185549142091617,-0.05098771805246204,False
0.2,0.2,0.2,0.5,Three-step estimator,300,-0.00528521959414472,0.14668995939858426,0.02211258762172836,-0.23901407128631733,False
0.2,0.2,0.2,0.8,GMM estimator,300,-0.01905406057819953,0.06655487280122672,0.014894615671580421,-1.2792582902662948,False
0.2,0.2,0.2,0.8,Simple g-estimator,300,-0.002488722399451328,0.06806837552822158,0.01506302045056276,-0.16522067453996905,False
0.2,0.2,0.2,0.8,Three-step estimator,300,0.0009108109807020307,0.07793508133833618,0.016117803959011308,0.05650962023227768,False
0.2,0.2,0.5,0.2,GMM estimator,300,0.023157020042748964,0.1786178483950428,0.024400672695306495,0.9490320341538474,False
0.2,0.2,0.5,0.2,Simple g-estimator,300,0.07375144311103778,0.19077865560025734,0.02521762978554602,2.9245985343678043,True
0.2,0.2,0.5,0.2,Three-step estimator,300,0.07818241381162648,0.24164574510891138,0.02838108202711279,2.7547368961105105,True
0.2,0.2,0.5,0.5,GMM estimator,300,-0.01274905650300954,0.09142817844572948,0.017457393700638656,-0.7302955253018744,False
0.2,0.2,0.5,0.5,Simple g-estimator,300,0.008733205051942845,0.09169949372839242,0.017483277126861582,0.4995176241029213,False
0.2,0.2,0.5,0.5,Three-step estimator,300,0.006128762540112891,0.09708915703080524,0.017989733834496206,0.3406811127111111,False
0.2,0.2,0.5,0.8,GMM estimator,300,-0.02155453128427241,0.05383550186252666,0.013395957333281146,-1.6090325422821379,False
0.2,0.2,0.5,0.8,Simple g-estimator,300,-0.012399496689580862,0.05238979104729868,0.013214864237831917,-0.9382992111325067,False
0.2,0.2,0.5,0.8,Three-step estimator,300,-0.010910648679804442,0.05566036079444814,0.013621106268636692,-0.8010104660094152,False
0.2,0.2,0.8,0.2,GMM estimator,300,-0.04136388273059703,0.35093021121126017,0.034201862094105355,-1.2094044066017693,False
0.2,0.2,0.8,0.2,Simple g-estimator,300,0.03349742437037719,0.35556502885210584,0.034426977253897165,0.9729992884166225,False
0.2,0.2,0.8,0.2,Three-step estimator,300,0.0585068552842156,0.4243036094576707,0.03760778330158403,1.5557113487662355,False
0.2,0.2,0.8,0.5,GMM estimator,300,0.005676633584930842,0.11771010411618407,0.019808256200903037,0.2865791681688795,False
0.2,0.2,0.8,0.5,Simple g-estimator,300,0.03564177143232388,0.10203456447536821,0.018442212853068744,1.9326190255088163,False
0.2,0.2,0.8,0.5,Three-step estimator,300,0.046845133845081606,0.112127298185054,0.01933281305492935,2.4230893720423863,True
0.2,0.2,0.8,0.8,GMM estimator,300,0.006692370513018597,0.06843484142622326,0.015103514097302352,0.443100226205895,False
0.2,0.2,0.8,0.8,Simple g-estimator,300,0.02423166312403067,0.0743580377795636,0.01574357411555199,1.5391462539687149,False
0.2,0.2,0.8,0.8,Three-step estimator,300,0.02070285280753519,0.0727330082479958,0.015570592821940104,1.3296123689242811,False
0.2,1.0,0.2,0.2,GMM estimator,300,-0.02768003386546141,0.12190642106117774,0.020158242405293982,-1.3731372660838748,False
0.2,1.0,0.2,0.2,Simple g-estimator,300,0.009499650251926698,0.12044242641241643,0.02003683494736768,0.4741093229983763,False
0.2,1.0,0.2,0.2,Three-step estimator,300,0.056794620697958716,0.37947884075082017,0.03556584694857414,1.5968864956338584,False
0.2,1.0,0.2,0.5,GMM estimator,300,-0.02389879751515394,0.07747093252403559,0.016069736828796706,-1.4871928376778196,False
0.2,1.0,0.2,0.5,Simple g-estimator,300,0.002178667210747871,0.07298011012892927,0.015597020028296995,0.1396848376674012,False
0.2,1.0,0.2,0.5,Three-step estimator,300,-0.0052739934863074295,0.1463888963991533,0.022089884291167705,-0.23875152159199645,False
0.2,1.0,0.2,0.8,GMM estimator,300,-0.01681293613345845,0.06243187094205388,0.01442588771873374,-1.16546977636772,False
0.2,1.0,0.2,0.8,Simple g-estimator,300,0.00039256474896298834,0.06125283747423029,0.014289021132117517,0.02747317295798648,False
0.2,1.0,0.2,0.8,Three-step estimator,300,0.0009674956648778708,0.07791223308147814,0.01611544115452404,0.060035319889847914,False
0.2,1.0,0.5,0.2,GMM estimator,300,-0.017796847467742734,0.0852910617207628,0.016861303006268803,-1.0554847072688338,False
0.2,1.0,0.5,0.2,Simple g-estimator,300,0.011773790313404567,0.07925524476432917,0.016253742621760398,0.7243741080064784,False
0.2,1.0,0.5,0.2,Three-step estimator,300,0.07812704355289385,0.24328783419313754,0.028477349724130904,2.7434801450884736,True
0.2,1.0,0.5,0.5,GMM estimator,300,-0.016777269662317153,0.059513957095002644,0.014084738442134526,-1.19116657588244,False
0.2,1.0,0.5,0.5,Simple g-estimator,300,0.003111538541518858,0.052410659985910865,0.013217495978930209,0.23541059111944576,False
0.2,1.0,0.5,0.5,Three-step estimator,300,0.00617860231730349,0.09711595144025073,0.017992216042893912,0.3434041867090491,False
0.2,1.0,0.5,0.8,GMM estimator,300,-0.01877590052334536,0.045745093543277826,0.012348426828720305,-1.5205095178339532,False
0.2,1.0,0.5,0.8,Simple g-estimator,300,-0.004217770334610029,0.045708119165861504,0.012343435389693517,-0.341701495689909,False
0.2,1.0,0.5,0.8,Three-step estimator,300,-0.010927406908774627,0.05557747895690709,0.01361096114128941,-0.8028387411691221,False
0.2,1.0,0.8,0.2,GMM estimator,300,-0.01689100149951427,0.13281451038486683,0.021040794533862612,-0.8027739386138792,False
0.2,1.0,0.8,0.2,Simple g-estimator,300,0.024656704002379133,0.11020888746589996,0.019166714852046674,1.2864334964395958,False
0.2,1.0,0.8,0.2,Three-step estimator,300,0.05858387151058462,0.42296374517609087,0.03754835749519504,1.5602246121706238,False
0.2,1.0,0.8,0.5,GMM estimator,300,-0.002991067371936681,0.06778843720711233,0.015032014414476894,-0.19897980998847842,False
0.2,1.0,0.8,0.5,Simple g-estimator,300,0.022535583668461548,0.0759075741158246,0.015906767335091963,1.4167293199005768,False
0.2,1.0,0.8,0.5,Three-step estimator,300,0.04682240463925492,0.11316694827780384,0.019422233674992503,2.4107631193595447,True
0.2,1.0,0.8,0.8,GMM estimator,300,-0.008857523000594841,0.06573463643538952,0.01480254892863495,-0.5983782281888161,False
0.2,1.0,0.8,0.8,Simple g-estimator,300,0.014144147076704146,0.061717783946013405,0.014343149810509244,0.9861255905129507,False
0.2,1.0,0.8,0.8,Three-step estimator,300,0.020677444506256717,0.07307372381963477,0.015607020196013798,1.3248809988429413,False
1.0,0.2,0.2,0.2,GMM estimator,300,-0.018011886951690585,0.07082192689313212,0.015364670176862688,-1.1722924569389248,False
1.0,0.2,0.2,0.2,Simple g-estimator,300,0.008654485968711139,0.07513312762202985,0.01582541496265104,0.5468726089733673,False
1.0,0.2,0.2,0.2,Three-step estimator,300,0.014335004142899142,0.0786217360667998,0.016188651999348165,0.8854970842214868,False
1.0,0.2,0.2,0.5,GMM estimator,300,-0.006601181469657464,0.024512111260409426,0.009039194518025269,-0.7302842589009335,False
1.0,0.2,0.2,0.5,Simple g-estimator,300,0.0006438647880404776,0.025997678218081223,0.009309077687590971,0.06916526101170595,False
1.0,0.2,0.2,0.5,Three-step estimator,300,0.004201971677043106,0.026730106326344618,0.009439298407251925,0.445157202977592,False
