p_I1,p_I2,ph1,ph2,method,n,bias,var,se,z,sig
0.2,0.2,0.2,0.2,GMM estimator,300,-0.15953377720097456,0.36933051061609096,0.03508705889717228,-4.54679822747502,True
0.2,0.2,0.2,0.2,Simple g-estimator,300,-0.017423544027527646,0.3669024101857626,0.03497153176445867,-0.4982207855486352,False
0.2,0.2,0.2,0.2,Three-step estimator,300,-0.019930259130050625,0.3977410031578752,0.036411582550880485,-0.5473604203333009,False
0.2,0.2,0.2,0.5,GMM estimator,300,-0.08918944501397402,0.13162694366456879,0.020946514719205576,-4.257961107591681,True
0.2,0.2,0.2,0.5,Simple g-estimator,300,-0.03007980881389318,0.12682815394332395,0.020561140852209857,-1.4629445433063255,False
0.2,0.2,0.2,0.5,Three-step estimator,300,-0.028853320636142214,0.15926760249014776,0.023041093904163763,-1.2522548085674057,False
0.2,0.2,0.2,0.8,GMM estimator,300,-0.050077367393527444,0.07672374470474735,0.0159920547673678,-3.1313904386890674,True
0.2,0.2,0.2,0.8,Simple g-estimator,300,-0.013313985143631205,0.07667936202355606,0.01598742860537158,-0.8327783955925138,False
0.2,0.2,0.2,0.8,Three-step estimator,300,-0.018184119349294918,0.08243306929314054,0.016576395797754162,-1.0969887285002315,False
0.2,0.2,0.5,0.2,GMM estimator,300,-0.07016380749206846,0.13038044238526425,0.02084709751062597,-3.365639147430729,True
0.2,0.2,0.5,0.2,Simple g-estimator,300,-0.012189910688285349,0.15348131844964363,0.02261867358693134,-0.5389312791236556,False
0.2,0.2,0.5,0.2,Three-step estimator,300,-0.015115101862223866,0.20509470891398396,0.026146682958136006,-0.5780886962382559,False
0.2,0.2,0.5,0.5,GMM estimator,300,-0.026057822992175832,0.04893650353062642,0.012771909741124127,-2.0402448435939493,True
0.2,0.2,0.5,0.5,Simple g-estimator,300,-0.006044003324933573,0.05011897844004396,0.012925295411200985,-0.46761045938616425,False
0.2,0.2,0.5,0.5,Three-step estimator,300,-0.0075990860147609,0.04680915132892977,0.012491217091611445,-0.6083543308092942,False
0.2,0.2,0.5,0.8,GMM estimator,300,-0.017973692361410738,0.028938279007910763,0.009821452541572922,-1.8300442103986607,False
0.2,0.2,0.5,0.8,Simple g-estimator,300,-0.008974268577540792,0.02715844422475675,0.009514628075540096,-0.9432075017847052,False
0.2,0.2,0.5,0.8,Three-step estimator,300,-0.010319878723204466,0.032549142878245334,0.010416196183227562,-0.9907531061887842,False
0.2,0.2,0.8,0.2,GMM estimator,300,-0.023174999952667325,0.09735354671465783,0.018014211678066647,-1.2864842695772383,False
0.2,0.2,0.8,0.2,Simple g-estimator,300,0.016016032607711624,0.10135089581801024,0.018380324246143415,0.871368338949305,False
0.2,0.2,0.8,0.2,Three-step estimator,300,0.01502505745167255,0.10089481122343497,0.01833892138080781,0.8192988638577561,False
0.2,0.2,0.8,0.5,GMM estimator,300,0.005080615102174537,0.035370547047869016,0.010858260610838954,0.4679032198861534,False
0.2,0.2,0.8,0.5,Simple g-estimator,300,0.01644557852648779,0.033221996631534814,0.010523306931368234,1.5627766664741334,False
0.2,0.2,0.8,0.5,Three-step estimator,300,0.014216094328676437,0.03939083408621518,0.011458742526446082,1.2406330184892935,False
0.2,0.2,0.8,0.8,GMM estimator,300,-0.0045125052181805595,0.02092728628566141,0.008352102786257165,-0.5402837265850691,False
0.2,0.2,0.8,0.8,Simple g-estimator,300,0.002806704893954674,0.02050858933475194,0.008268129440760656,0.3394606862488187,False
0.2,0.2,0.8,0.8,Three-step estimator,300,-0.0012543515764188201,0.022156541940300072,0.008593901314362426,-0.14595834075060932,False
0.2,1.0,0.2,0.2,GMM estimator,300,-0.05742001866200026,0.15270539519814913,0.02256142690509247,-2.5450526202772954,True
0.2,1.0,0.2,0.2,Simple g-estimator,300,0.008809646457216377,0.17857947342805403,0.024398051385855525,0.3610799206006945,False
0.2,1.0,0.2,0.2,Three-step estimator,300,-0.020682266359632703,0.39104790050107957,0.03610391947794955,-0.5728537693051411,False
0.2,1.0,0.2,0.5,GMM estimator,300,-0.05726796968523857,0.08071883238030697,0.016403133072709714,-3.4912823929055765,True
0.2,1.0,0.2,0.5,Simple g-estimator,300,-0.014689424146721291,0.08533544242361912,0.01686568927572772,-0.8709649458478755,False
0.2,1.0,0.2,0.5,Three-step estimator,300,-0.028000899911277355,0.1591448753550489,0.0230322147838666,-1.215727630800455,False
0.2,1.0,0.2,0.8,GMM estimator,300,-0.047320422687823785,0.06177997332567014,0.014350374365113282,-3.297504405380733,True
0.2,1.0,0.2,0.8,Simple g-estimator,300,-0.020410206166234197,0.06244774107097393,0.014427721126471999,-1.4146521122303597,False
0.2,1.0,0.2,0.8,Three-step estimator,300,-0.018365051340175416,0.08083082691794777,0.01641450851309574,-1.1188304130777662,False
0.2,1.0,0.5,0.2,GMM estimator,300,-0.03161211719168374,0.07033727143240212,0.015312007426896724,-2.0645312081128315,True
0.2,1.0,0.5,0.2,Simple g-estimator,300,0.0022159072247843054,0.0706422599786248,0.015345168618452823,0.14440422779842507,False
0.2,1.0,0.5,0.2,Three-step estimator,300,-0.015418377385803709,0.20004931999535933,0.025823072370482907,-0.5970775732878209,False
0.2,1.0,0.5,0.5,GMM estimator,300,-0.024421190504415165,0.03328334888392079,0.010533019333492936,-2.318536568784277,True
0.2,1.0,0.5,0.5,Simple g-estimator,300,-0.006948857162166592,0.033075713630795665,0.01050011327411847,-0.6617887808215077,False
0.2,1.0,0.5,0.5,Three-step estimator,300,-0.007576691562004679,0.04745365303899859,0.012576917088989998,-0.6024283620854444,False
0.2,1.0,0.5,0.8,GMM estimator,300,-0.023352255856559114,0.027897598251949127,0.00964323566927428,-2.4216203624438157,True
0.2,1.0,0.5,0.8,Simple g-estimator,300,-0.01163202884761248,0.02444114647978628,0.009026100390863946,-1.2887103337988803,False
0.2,1.0,0.5,0.8,Three-step estimator,300,-0.010267476511169826,0.032241055373544325,0.010366782749651943,-0.990420727348082,False
0.2,1.0,0.8,0.2,GMM estimator,300,-0.012025274180087274,0.06109428360182615,0.01427051547793867,-0.8426657186054421,False
0.2,1.0,0.8,0.2,Simple g-estimator,300,0.014277036597102152,0.06645175306614261,0.014883072382872049,0.9592801963076291,False
0.2,1.0,0.8,0.2,Three-step estimator,300,0.015243212189146756,0.099779098702461,0.018237241997486078,0.835828805213418,False
0.2,1.0,0.8,0.5,GMM estimator,300,-0.0031632249562100843,0.02919808852657917,0.00986544280583816,-0.32063689572435156,False
0.2,1.0,0.8,0.5,Simple g-estimator,300,0.010121187468782626,0.02861699886013192,0.009766780237132386,1.0362870079028519,False
0.2,1.0,0.8,0.5,Three-step estimator,300,0.014080742934153744,0.038534798887291076,0.011333548853924952,1.242394868159712,False
0.2,1.0,0.8,0.8,GMM estimator,300,-0.005102968535783663,0.017393266311530476,0.007614299335576994,-0.6701822861022277,False
0.2,1.0,0.8,0.8,Simple g-estimator,300,0.0023117964236740213,0.018546348194008296,0.007862643362552718,0.29402280086673854,False
0.2,1.0,0.8,0.8,Three-step estimator,300,-0.0012233260717519655,0.022093773568913216,0.008581719635153398,-0.14255022580099688,False
1.0,0.2,0.2,0.2,GMM estimator,300,-0.058380661677740024,0.22379599054274457,0.02731275590529967,-2.1374870364660654,True
1.0,0.2,0.2,0.2,Simple g-estimator,300,0.022364915804113088,0.2223923578856271,0.027226969343258845,0.8214250922367325,False
