p_I1,p_I2,p_I3,p_I4,ph1,ph2,ph3,ph4,seconds
0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,52.06336688995361
0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,47.31466603279114
0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,45.34997797012329
1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,46.741328954696655
1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,33.05960392951965
1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,35.467724084854126
