p_I1,p_I2,ph1,ph2,gamma13,gamma23,seconds
0.2,0.2,0.5,0.5,correct,correct,1165.340224981308
0.2,0.2,0.5,0.5,correct,wrong,1175.089966058731
0.2,0.2,0.5,0.5,wrong,correct,1206.0849010944366
0.2,0.2,0.5,0.5,wrong,wrong,1177.7054960727692
1.0,1.0,0.5,0.5,correct,correct,1187.1891808509827
1.0,1.0,0.5,0.5,correct,wrong,1158.547397851944
1.0,1.0,0.5,0.5,wrong,correct,1207.199322938919
1.0,1.0,0.5,0.5,wrong,wrong,1198.7363250255585
