p_I1,p_I2,ph1,ph2,gamma13,gamma23,seconds
0.2,0.2,0.5,0.5,correct,correct,1103.2469980716705
0.2,0.2,0.5,0.5,correct,wrong,1384.2082059383392
0.2,0.2,0.5,0.5,wrong,correct,1407.966012954712
0.2,0.2,0.5,0.5,wrong,wrong,1665.063199043274
1.0,1.0,0.5,0.5,correct,correct,1236.366159915924
1.0,1.0,0.5,0.5,correct,wrong,2041.8348550796509
1.0,1.0,0.5,0.5,wrong,correct,1938.0466339588165
1.0,1.0,0.5,0.5,wrong,wrong,1808.363280057907
