id,est_psi03,est_psi13,est_psi23,method,p_I1,p_I2,ph1,ph2,seed,psi03,psi13,psi23,gamma13,gamma23,add_const
1,-0.21558973197858922,-0.7754864049171007,0.2706254600415175,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
2,-0.12662928753753439,0.09630055561698252,0.2371927503837183,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
3,-0.26114076633765204,0.3017240400015753,-0.011670418344562585,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
4,0.2265552590635975,-0.17589413950598215,-0.016634657047821022,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
5,-0.39976433392435395,0.09171723389625662,-0.45601347903470657,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
6,0.21827799437392845,-0.1060534238687266,0.22902407626896595,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
7,0.6392850876103037,-0.2337460286391087,0.021615213387539974,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
8,-0.19844335216920342,-0.12386859522273606,0.10974218229530451,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
9,-0.21466663895936083,0.10648521797516411,0.267798346444969,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
10,-0.28805624355737763,-0.2195733838726371,-0.07988678802133792,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
11,0.2627603251888729,-0.05569490684189807,0.1596281924477521,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
12,-0.044310765593481294,-0.18876425412701262,0.20181849633487875,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
13,0.31280274794055407,0.11148435461848535,-0.010701886430405315,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
14,-0.2948173188257453,-0.47180035087072836,-0.10581508511012351,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
15,-0.29116425189321316,-0.31723059112876384,0.013176255280802468,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
16,-0.215209491151559,-0.2471121814371774,-0.4090634588478311,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
17,0.36035204108792,0.43396598226546446,0.14517232430791138,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
18,0.03716785535226,-0.34563219570870196,-0.1802428859509397,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
19,-0.05585476601269098,0.1350365635084463,-0.021122664629342928,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
20,-0.03035952139324484,0.4296295945540749,0.2853388680997139,Three-step,0.2,0.2,0.5,0.5,3411,0.0,0.0,0.0,correct,correct,1.5
