 p_I1  p_I2  ph1  ph2               method  mean_psi03  var_psi03  mse_psi03  coverage_psi03
  1.0   0.2  0.5  0.8        GMM estimator   -0.013988   0.042638   0.042834        0.940000
  1.0   0.2  0.5  0.8   Simple g-estimator   -0.003427   0.041899   0.041910        0.943333
  1.0   0.2  0.5  0.8 Three-step estimator   -0.012326   0.053114   0.053266        0.943333
  1.0   0.2  0.8  0.2        GMM estimator   -0.059790   0.154634   0.158209        0.926667
  1.0   0.2  0.8  0.2   Simple g-estimator    0.009286   0.154015   0.154101        0.946667
  1.0   0.2  0.8  0.2 Three-step estimator    0.010756   0.225378   0.225493        0.946667
  1.0   0.2  0.8  0.5        GMM estimator   -0.023568   0.051854   0.052409        0.953333
  1.0   0.2  0.8  0.5   Simple g-estimator    0.009435   0.048476   0.048565        0.946667
  1.0   0.2  0.8  0.5 Three-step estimator    0.025879   0.059758   0.060428        0.946667
  1.0   0.2  0.8  0.8        GMM estimator   -0.032377   0.024841   0.025890        0.926667
  1.0   0.2  0.8  0.8   Simple g-estimator   -0.007085   0.025451   0.025501        0.943333
  1.0   0.2  0.8  0.8 Three-step estimator   -0.025249   0.031475   0.032113        0.940000
  1.0   1.0  0.2  0.2        GMM estimator   -0.013301   0.530241   0.530418        0.946667
  1.0   1.0  0.2  0.2   Simple g-estimator    0.056173   0.476539   0.479694        0.950000
  1.0   1.0  0.2  0.2 Three-step estimator   -0.055103   1.556173   1.559209        0.946667
  1.0   1.0  0.2  0.5        GMM estimator   -0.007257   0.146759   0.146811        0.946667
  1.0   1.0  0.2  0.5   Simple g-estimator   -0.004414   0.153013   0.153032        0.936667
  1.0   1.0  0.2  0.5 Three-step estimator   -0.047594   0.340483   0.342748        0.933333
  1.0   1.0  0.2  0.8        GMM estimator   -0.012405   0.090437   0.090590        0.936667
  1.0   1.0  0.2  0.8   Simple g-estimator    0.023000   0.103909   0.104438        0.953333
  1.0   1.0  0.2  0.8 Three-step estimator   -0.045756   0.204181   0.206275        0.956667
  1.0   1.0  0.5  0.2        GMM estimator   -0.065727   0.144012   0.148332        0.946667
