p_I1,p_I2,ph1,ph2,method,bias,var,se,z,sig
0.2,1.0,0.5,0.2,Simple g-estimator,0.01892221163776544,0.1893656467312669,0.025124068588458285,0.7531507713865297,False
0.2,1.0,0.5,0.2,Three-step estimator,0.054204027694039224,0.4155492489259128,0.03721779363538865,1.4564008878403572,False
0.2,1.0,0.5,0.5,GMM estimator,-0.04671061569231722,0.06953383045392547,0.01522430408414185,-3.0681609769587155,True
0.2,1.0,0.5,0.5,Simple g-estimator,-0.01003078809939358,0.06701307390891982,0.014945799176682817,-0.6711443115763777,False
0.2,1.0,0.5,0.5,Three-step estimator,0.0020537453864538473,0.09230407307637628,0.017540816502886088,0.11708379630537342,False
0.2,1.0,0.5,0.8,GMM estimator,-0.036711285730524255,0.05002186800300586,0.01291276732579115,-2.843022320800239,True
0.2,1.0,0.5,0.8,Simple g-estimator,-0.010958802172832353,0.04675508072116906,0.012484000523492602,-0.8778277565921192,False
0.2,1.0,0.5,0.8,Three-step estimator,-0.01842898917564333,0.06330339892000371,0.014526229026603762,-1.2686698758426525,False
0.2,1.0,0.8,0.2,GMM estimator,-0.037273839246108185,0.11788877063121203,0.01982328350124436,-1.8803060171019805,False
0.2,1.0,0.8,0.2,Simple g-estimator,0.015360090121678044,0.0987508162809033,0.01814302586679,0.8466112672965982,False
0.2,1.0,0.8,0.2,Three-step estimator,0.0174652338245087,0.16255795763465694,0.023277883468695984,0.7502930345018647,False
0.2,1.0,0.8,0.5,GMM estimator,-0.03144794823919609,0.04285836889830396,0.011952457055392971,-2.631086486523431,True
0.2,1.0,0.8,0.5,Simple g-estimator,-0.0060779562127218295,0.051911442741148194,0.01315439631722011,-0.4620475213115877,False
0.2,1.0,0.8,0.5,Three-step estimator,0.005704776612535579,0.06723415408840508,0.014970432423993311,0.3810695944488856,False
0.2,1.0,0.8,0.8,GMM estimator,-0.027551573534604187,0.02758680852516927,0.00958937059546824,-2.873136798740947,True
0.2,1.0,0.8,0.8,Simple g-estimator,-0.01268343852859421,0.02759714317132454,0.00959116662548141,-1.3224083183892752,False
0.2,1.0,0.8,0.8,Three-step estimator,-0.01888883266738297,0.03251178191296787,0.010410216442349293,-1.8144514835005958,False
1.0,0.2,0.2,0.2,GMM estimator,-263.48760133535325,0.6598645609622699,0.046899344734664464,-5618.151017376647,True
1.0,0.2,0.2,0.2,Simple g-estimator,0.11347719596234543,0.5857352402207635,0.04418654547185012,2.5681391190591767,True
1.0,0.2,0.2,0.2,Three-step estimator,0.15234849501495434,1.1236891682997587,0.061201556851106294,2.489291169268686,True
1.0,0.2,0.2,0.5,GMM estimator,-0.016103156066489863,0.1749974264489273,0.02415211698443343,-0.66673890644322,False
1.0,0.2,0.2,0.5,Simple g-estimator,0.03927531977019458,0.17104593013410047,0.023877878893381662,1.6448412334095845,False
1.0,0.2,0.2,0.5,Three-step estimator,0.027665782690944683,0.28022913081726225,0.030563002187681227,0.9052050096732872,False
1.0,0.2,0.2,0.8,GMM estimator,-0.00034224765714849345,0.12053764303063944,0.020044753513961323,-0.01707417638785707,False
1.0,0.2,0.2,0.8,Simple g-estimator,0.027213431748763527,0.12526462534026392,0.020434009668545552,1.3317715020294654,False
1.0,0.2,0.2,0.8,Three-step estimator,-0.0025348514985996788,0.18893120950050804,0.02509523258180778,-0.10100928494431495,False
1.0,0.2,0.5,0.2,GMM estimator,-0.08153985698219623,0.2727661127862885,0.03015328134638575,-2.7041785617129794,True
1.0,0.2,0.5,0.2,Simple g-estimator,0.03941907998036464,0.22610103552222166,0.027453052988828136,1.4358723598576089,False
1.0,0.2,0.5,0.2,Three-step estimator,0.05356906593033241,0.40326450855107665,0.03666353813400432,1.4610991916420835,False
1.0,0.2,0.5,0.5,GMM estimator,-0.03970446656191846,0.06628318578706853,0.014864183550520417,-2.671150179690047,True
1.0,0.2,0.5,0.5,Simple g-estimator,-0.0003690863611895579,0.062808405978874,0.014469324561392398,-0.02550819560536835,False
1.0,0.2,0.5,0.5,Three-step estimator,0.0020808551958488354,0.09430677658777946,0.01773008522143266,0.11736295510488777,False
1.0,0.2,0.5,0.8,GMM estimator,-0.021369410693473773,0.040110569109408536,0.01156295364651099,-1.8480927405535166,False
1.0,0.2,0.5,0.8,Simple g-estimator,-0.005673108168536343,0.040066180811238465,0.011556553813203205,-0.4908996453644247,False
1.0,0.2,0.5,0.8,Three-step estimator,-0.018146917007460763,0.0616389017681878,0.014333980811134055,-1.2660067881048769,False
