p_I1,p_I2,ph1,ph2,method,n_kept,bias,var,se,z,sig
0.2,1.0,0.2,0.8,GMM estimator,300,-0.006186473467629215,0.04433837545795439,0.012157079618882488,-0.5088782554340047,False
0.2,1.0,0.2,0.8,Simple g-estimator,300,0.00021380446427071421,0.0458758758257706,0.01236606590981554,0.01728961060291676,False
0.2,1.0,0.2,0.8,Three-step estimator,300,0.00021380446363838412,0.04587587582246793,0.012366065909370413,0.017289610552404813,False
0.2,1.0,0.5,0.2,GMM estimator,300,-0.02249547646774088,0.03507249533810699,0.010812414984345077,-2.0805228526939916,True
0.2,1.0,0.5,0.2,Simple g-estimator,300,-0.0010333302125529345,0.03811719660022261,0.011271970635196936,-0.09167254298253243,False
0.2,1.0,0.5,0.2,Three-step estimator,300,-0.0010333302126416548,0.03811719660023799,0.01127197063519921,-0.09167254299038481,False
0.2,1.0,0.5,0.5,GMM estimator,300,-0.019394180225555977,0.021614993104127102,0.008488225787156996,-2.284833216253519,True
0.2,1.0,0.5,0.5,Simple g-estimator,300,-0.007920877408638255,0.02134088990856438,0.008434233794199364,-0.9391342002027299,False
0.2,1.0,0.5,0.5,Three-step estimator,300,-0.00792087740865909,0.02134088990856368,0.008434233794199227,-0.9391342002052155,False
0.2,1.0,0.5,0.8,GMM estimator,300,-0.009608173491155092,0.03694746566431871,0.011097667272046967,-0.8657831646616724,False
0.2,1.0,0.5,0.8,Simple g-estimator,300,-0.0034391879892416294,0.03733988942088153,0.011156446480380977,-0.30826912451823874,False
0.2,1.0,0.5,0.8,Three-step estimator,300,-0.0034391879891843484,0.03733988942089999,0.011156446480383735,-0.3082691245130282,False
0.2,1.0,0.8,0.2,GMM estimator,300,-0.016350308134862847,0.039952227053138195,0.011540107892785374,-1.4168245467691603,False
0.2,1.0,0.8,0.2,Simple g-estimator,300,0.0025028479399859895,0.038051191706706296,0.0112622069635139,0.22223423420422395,False
0.2,1.0,0.8,0.2,Three-step estimator,300,0.0025028479401720304,0.03805119170921192,0.011262206963884702,0.22223423421342603,False
0.2,1.0,0.8,0.5,GMM estimator,300,-0.012672244233408075,0.019702513309122354,0.008104014089557174,-1.563699679364763,False
0.2,1.0,0.8,0.5,Simple g-estimator,300,-0.0014108308970725047,0.01843209083749927,0.007838386491597887,-0.1799899633151288,False
0.2,1.0,0.8,0.5,Three-step estimator,300,-0.0014108308974821327,0.018432090837802166,0.007838386491662292,-0.1799899633659091,False
0.2,1.0,0.8,0.8,GMM estimator,300,-0.0022748257135083963,0.03847712070070485,0.011325063752683669,-0.20086648191886225,False
0.2,1.0,0.8,0.8,Simple g-estimator,300,-0.0016093087026387942,0.037703505642015564,0.011210635670650075,-0.14355195815095778,False
0.2,1.0,0.8,0.8,Three-step estimator,300,-0.0016093087028187167,0.037703505639320865,0.01121063567024946,-0.14355195817213692,False
1.0,0.2,0.2,0.2,GMM estimator,300,-0.038165984487817606,0.14554233352031143,0.02202591908943578,-1.7327760232317857,False
1.0,0.2,0.2,0.2,Simple g-estimator,300,-0.026273358842514374,0.15686031842312384,0.022866301145508413,-1.1489990740227438,False
1.0,0.2,0.2,0.2,Three-step estimator,300,-0.026273358843164986,0.1568603184994273,0.02286630115106998,-1.148999073771736,False
1.0,0.2,0.2,0.5,GMM estimator,300,-0.019875282241028996,0.10940599545419881,0.01909677070904911,-1.0407666586063677,False
1.0,0.2,0.2,0.5,Simple g-estimator,300,-0.027137502083802965,0.11041036523574976,0.01918422661422223,-1.4145736823023438,False
1.0,0.2,0.2,0.5,Three-step estimator,300,-0.02713750208222886,0.11041036527547149,0.019184226617673134,-1.414573681965835,False
1.0,0.2,0.2,0.8,GMM estimator,300,0.022919473343086375,0.12201182415878088,0.02016695516257399,1.1364865522992054,False
1.0,0.2,0.2,0.8,Simple g-estimator,300,0.0001521794824017438,0.1426045026558574,0.021802484770919835,0.006979914629029847,False
1.0,0.2,0.2,0.8,Three-step estimator,300,0.00015217945208395237,0.14260450262816732,0.021802484768803098,0.006979913239141625,False
1.0,0.2,0.5,0.2,GMM estimator,300,-0.0033634814189624483,0.14033705287714052,0.0216284575561258,-0.15551184869444443,False
