p_I1,p_I2,ph1,ph2,seconds
0.2,0.2,0.2,0.2,545.5313646793365
0.2,0.2,0.2,0.5,563.383739233017
0.2,0.2,0.2,0.8,600.5390000343323
0.2,0.2,0.5,0.2,555.1620900630951
0.2,0.2,0.5,0.5,582.4203999042511
0.2,0.2,0.5,0.8,637.6357324123383
0.2,0.2,0.8,0.2,721.566507101059
0.2,0.2,0.8,0.5,894.541934967041
0.2,0.2,0.8,0.8,859.4202649593353
0.2,1.0,0.2,0.2,691.8908560276031
0.2,1.0,0.2,0.5,748.673837184906
0.2,1.0,0.2,0.8,740.1879978179932
0.2,1.0,0.5,0.2,623.3363881111145
0.2,1.0,0.5,0.5,641.0963897705078
0.2,1.0,0.5,0.8,630.3280398845673
0.2,1.0,0.8,0.2,594.2141268253326
0.2,1.0,0.8,0.5,610.7921450138092
0.2,1.0,0.8,0.8,617.2208352088928
1.0,0.2,0.2,0.2,486.93302297592163
1.0,0.2,0.2,0.5,543.4731938838959
1.0,0.2,0.2,0.8,580.7779130935669
1.0,0.2,0.5,0.2,518.1451778411865
1.0,0.2,0.5,0.5,549.4288399219513
1.0,0.2,0.5,0.8,572.8039569854736
1.0,0.2,0.8,0.2,544.0025980472565
1.0,0.2,0.8,0.5,576.1859703063965
1.0,0.2,0.8,0.8,603.3940680027008
1.0,1.0,0.2,0.2,466.86745500564575
1.0,1.0,0.2,0.5,497.71007204055786
1.0,1.0,0.2,0.8,518.2559821605682
1.0,1.0,0.5,0.2,500.9904251098633
1.0,1.0,0.5,0.5,533.0122768878937
1.0,1.0,0.5,0.8,556.0103800296783
1.0,1.0,0.8,0.2,551.7700970172882
1.0,1.0,0.8,0.5,577.7025799751282
1.0,1.0,0.8,0.8,593.0720391273499
