id,est_psi03,est_psi13,est_psi23,method,p_I1,p_I2,ph1,ph2,seed,psi03,psi13,psi23
1,1.625597677540268,1.929964482450707,0.2198171805430195,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
2,-4.726231167194466,-1.91230199632752,-0.6027203308389152,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
3,-0.8229252764297111,1.1980852178802128,-0.699693533550745,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
4,0.9984921131690295,0.9690310998707413,0.8415717633777152,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
5,0.5908952993191258,1.3608690305460114,0.2410344292032711,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
6,0.4459347400735796,-0.07365377841230968,0.39941038770062115,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
7,0.22721171723543065,1.517975019950095,0.23855666656277213,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
8,0.5690549394275559,0.466920478305461,0.36473730268543897,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
9,-1.0099002502757157,3.3883572283501633,-0.09742682650323406,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
10,-2.793033165545261,-2.0506162391584732,0.5073275223668297,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
11,-0.7333845074468258,0.6561945084928715,-0.6368215591252724,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
12,5.813725687938143,0.8908467929916823,0.05534415727501102,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
13,0.8579155448840915,0.824508345469598,0.05567954415778566,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
14,3.243070216695123,0.6666874203578478,0.7167500940696587,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
15,1.6253171017869685,0.057047209283348076,0.004527770273077826,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
16,-1.349646191202095,-0.5519501803936648,0.09165982222986492,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
17,4.295458844703035,-0.6248932908386047,-0.25205995077036014,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
18,9.600047200932538,1.6869324583834442,1.0718428101733253,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
19,-0.5032355303631412,0.4992600727788285,0.6765255187229192,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
20,-0.7463252362377241,0.011537104063616296,-1.5684174193930258,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
21,1.667030950902533,0.2514461992425398,0.6575467377692843,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
22,14.499699580628336,2.033916952721988,0.9610719498609699,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
23,-0.6102540695348262,-1.639319056018691,0.44818266277390906,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
24,-1.9233510622494598,1.4130508253199765,0.8732439194680458,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
25,2.056547103435309,1.7063565305558321,0.0813058201795852,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
26,2.1259792470078915,0.822210800638751,1.416994783227647,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
27,2.3131074877229105,0.6370127324289685,0.4714814271498576,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
28,2.332198565650358,2.667809930139851,0.3615279289002883,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
29,1.4982352429277246,-1.2423707364666163,-1.5124105212417691,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
30,4.511335950721991,0.3278901985662762,1.2566946325359742,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
31,-1.6627694318011623,-1.780662971039752,-0.655803470164738,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
32,1.0877003206092284,1.0639854289838067,0.03967300552345028,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
33,-1.8236241677420335,-0.9537949850209403,-0.03284657516432667,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
34,0.2438363652218349,0.8101575988039507,0.9372510489945676,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
35,2.3481042866890176,-1.3514117519450266,-1.2864337259555914,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
36,2.5125525218609925,-1.0922532926733342,-1.2813885297902916,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
37,3.0895549531271804,-1.8060477970909983,-0.8666043570730275,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
38,3.460413702182152,2.223168172684891,-0.19185761683030092,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
39,-1.9055548267768216,1.2984277169947243,0.054439066758166364,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
40,1.4101225291175454,-0.04530451557792961,-0.6671049328721904,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
41,6.840854183517921,2.9577409403321044,-1.144647338076265,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
42,-1.8276281480768157,2.24724116847331,-0.6133056525625141,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
43,0.4064952287546801,-0.17609773050585167,-0.2803092522721822,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
44,-0.004586313167289032,0.7691142969000186,0.44290062515590634,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
45,0.2564613457457923,-1.8592100332801749,0.7832269246415409,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
46,-0.8240156512082291,-1.154309871934573,-1.0658399419667808,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
47,-0.9233205156076078,-0.4901812977078902,-0.0684916248081742,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
48,-2.1255606393108746,0.11759997424984356,-0.010306055149391084,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
49,-0.7178162043446203,-0.8898945767101053,-0.2551789842373302,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
50,-2.369243116238716,-1.0184060952331182,1.0524195955558941,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
51,-1.271921207755066,1.1738445341498709,-0.036615900989382826,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
52,-1.6619987751182477,0.2981964528770895,0.3626408604781254,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
53,-0.980727450179112,3.0984447683617797,1.168886680975393,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
54,2.5157611231310706,2.9810968586330953,0.23738091586014326,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
55,-0.24548525987100073,-2.1206531236268757,-0.03257416871204805,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
56,-0.9808263657726849,-1.282332440162758,-0.7103186681633793,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
57,0.9117646261946035,-0.816959266969684,0.11878573212723527,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
58,-1.4220991617155652,-3.328430844805803,-1.0643761690584168,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
59,-0.9100549182996768,2.740600473742088,0.2019263479907868,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
60,-0.09433152878116409,-1.1290164265312486,-0.07263428187168608,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
61,-1.0400077677671657,-0.4709965346637296,-0.03901710605454631,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
62,-0.6460968064450638,0.85735857373922,-0.12270297448666295,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
63,0.12158403902346554,3.1074793234805074,-0.5652948063453487,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
64,1.878000868152072,0.39542974170897194,-0.19669027268702,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
65,1.264533910446486,-1.5034813122359671,0.10388446281073015,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
66,-0.4184405856117278,-1.495365387668757,-0.13575460438695583,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
67,0.7983136440907901,-0.5799327563095507,1.0267815004838687,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
68,0.8946152062187332,-1.1682518892464249,1.0614878299595913,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
69,-1.9388007172796142,-0.807028713795251,-0.5364695633650673,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
70,0.4261977959997665,-1.3927271635411405,-0.7868411092038022,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
71,-0.3471974657052253,-0.8886480119611213,-1.5674823491263874,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
72,3.8567518523692432,0.7247472135387333,-0.8494538550736236,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
73,-1.1518649398232095,1.9746754607198067,0.3375086733777119,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
74,1.7709914001448688,-1.682960791232513,-0.20743002540673763,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
75,-1.9351078227014402,0.0025189456825453903,0.6507806325879312,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
76,4.79670758878687,-0.40822782368855726,0.3380581039989221,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
77,-1.2735617088338178,-0.4106996762091217,0.683837423519291,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
78,0.49765746808138966,0.14553196897225099,-0.27758233494000056,Three-step,0.2,0.2,0.2,0.2,3411,0.0,0.0,0.0
