n,p_I1,p_I2,ph1,ph2,bias_threestep_psi03,var_threestep_psi03,bias_gest_psi03,var_gest_psi03,bias_gmm_psi03,var_gmm_psi03,bias_threestep_psi13,var_threestep_psi13,bias_gest_psi13,var_gest_psi13,bias_gmm_psi13,var_gmm_psi13
6000,0.2,0.2,0.2,0.2,0.05131226882399813,13.023010302887327,0.13939034868604078,17.698568670197137,-1.1878101145886173,17903465.72586475,0.03950838268270919,2.045526157804512,-0.046381605043994883,2.013515814230547,-0.16259539653430338,2.2557102661108814
6000,0.2,0.2,0.2,0.5,0.03952663379386691,1.2685790769339556,0.030189574136303743,1.1629647017437699,-0.3089595793398998,3269.184190341385,-0.030501549866142737,0.6586699106989318,-0.014557289505866513,0.611881731878542,-0.1493827449827634,0.6344424312994734
6000,0.2,0.2,0.2,0.8,-0.05425976700683352,0.631604112449635,-0.009592459759753327,0.5640362426719936,-0.19005595009819543,0.5758350103598298,0.007212848423911461,0.4019625920114557,0.00029739507061777345,0.39067363020714185,-0.06669223652583901,0.39211283539223135
6000,0.2,0.2,0.5,0.2,-0.0032476798773640016,0.9365855879620039,-0.00035924167969108006,0.8569743896673491,-0.3068921645680699,2.1569661730872185,-0.05401891566892397,1.1714011599197671,-0.0891581189829648,1.0268232764121283,-0.24093189891970002,1.1704703759179367
6000,0.2,0.2,0.5,0.5,-0.02448572548959642,0.28156044674224023,-0.005963095248325727,0.2458060154771006,-0.10312621034277185,0.25043040015132084,0.011065314150272332,0.37084566441586386,0.014546515201232204,0.33407877488638454,-0.06194978796151564,0.3403720922134608
6000,0.2,0.2,0.5,0.8,-0.030961838328043324,0.1425248666221558,-0.0278710842440186,0.1380990034378292,-0.07678086580902786,0.13247867264025814,0.00533302120128982,0.256830933856885,-0.0017848425052576825,0.2419253528962083,-0.050259144177133015,0.22559346576643471
6000,0.2,0.2,0.8,0.2,0.043258336844113524,0.5375852994627832,0.0790435053543587,0.5091839998477262,-0.11378983092266404,0.4938578816421239,0.0783055732041482,2.312117241868956,0.09046993745705123,1.945141970427003,-0.07674224996520079,2.2752931669338277
6000,0.2,0.2,0.8,0.5,0.009117650687549796,0.1599623836607978,0.01090201240527083,0.1542407208555218,-0.040975064435949754,0.15510215994535478,0.04001961607113318,0.7168630424381063,0.05085732446555988,0.6422759778513587,-0.08457250269105199,0.5974431746140899
6000,0.2,0.2,0.8,0.8,-0.012009678700400622,0.09542566711714011,-0.017740742214840042,0.09064896792375167,-0.03822537931557033,0.08133657644542182,-0.009180623204633486,0.4546031894607559,0.004066357967583617,0.4214939012591203,-0.07380059116642165,0.4212902201119315
6000,0.2,1.0,0.2,0.2,0.04191665615941969,13.067140244862959,0.05730399722170025,6.769347435721465,-0.43024048756459343,7939795.256569283,0.031900365656855986,2.0441292324645337,-0.07981923222636977,0.8613206057355666,-0.1525061562908577,1.0769693918365608
6000,0.2,1.0,0.2,0.5,0.04446009978870481,1.2596238970536633,0.0017821354987400991,0.7342545536778528,-0.1718343262675877,0.7928670237289969,-0.03199657513733955,0.6586423027702459,-0.014492071673120912,0.3862645290122752,-0.13378870757999237,0.3703701479514644
6000,0.2,1.0,0.2,0.8,-0.060434310645762,0.6395153072782388,-0.035434089517542774,0.41991031333703965,-0.20824819774375763,0.4169564768544061,0.0066767801757511985,0.4018516285140224,0.004374938358709564,0.3290960893407987,-0.09567510420050782,0.32871940045691955
6000,0.2,1.0,0.5,0.2,-0.0009651493467459399,0.9420892946168656,-0.03472847114145376,0.4488917046652056,-0.18533087976636625,0.4807658525664115,-0.05583063842948369,1.1730638691995423,-0.03874843904471635,0.46085513235902814,-0.17777516854536252,0.5192622989238526
6000,0.2,1.0,0.5,0.5,-0.028391016860181438,0.28007784167186517,-0.011361868589544119,0.15794198361747905,-0.10608931050363252,0.15895307501322625,0.009129106865171538,0.3698507527209095,0.026395837440943024,0.23406675604219748,-0.04337059863132883,0.2364367180204036
6000,0.2,1.0,0.5,0.8,-0.03235064541125326,0.1416351702887644,-0.028702684716860813,0.11824350514038134,-0.0740839541811095,0.1146796840961956,0.005428704900243962,0.25645286362657504,0.013820156323394154,0.19128326626300915,-0.030741087115298077,0.18978372868951526
