p_I1,p_I2,p_I3,p_I4,ph1,ph2,ph3,ph4,seconds
0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,3435.3282659053802
1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,3841.0288438796997
