id,method,est_psi05,est_psi15,est_psi25,est_psi35,est_psi45
1,Three-step-g,0.12798822600214185,-1.1685932568000923,-0.02710313677997296,0.03275427569926173,0.15523513869625138
1,Three-step-ipw,-0.20897040455818394,-1.2149956979046759,0.09602924988738355,-0.0936699178952363,0.1552351386962512
1,Robins',0.2957157711533352,-0.6665763835526431,-0.12446845180023317,0.03436214173996947,0.15523513869639421
2,Three-step-g,0.8664001419850063,0.9584621361628455,-0.41601192094091477,-0.04221464210796104,0.001137985331933566
2,Three-step-ipw,0.19387389224938914,0.9054528031355756,-0.4980981165998658,-0.15383219335844672,0.0011379853319337036
2,Robins',0.8563116124775956,0.8429446023936279,-0.261073817145439,-0.05797061667951482,0.0011379853319259583
3,Three-step-g,0.3211664243820427,0.061647422115503926,1.3449953609534466,0.6084804643421828,0.1357355887887245
3,Three-step-ipw,0.7008889867704133,0.33602918494466366,1.4927176411203338,0.619010759826516,0.13573558878873684
3,Robins',0.22826449119809378,0.050836906956217495,1.24603211340086,0.5861458948348433,0.13573558878815387
4,Three-step-g,0.5544546174150567,-0.45161939607767954,0.480610726437461,-0.007118974648227233,-0.21524579623530524
4,Three-step-ipw,0.8351201425129462,0.2534175257350774,0.7041726074494983,0.018133581860897113,-0.21524579623528428
4,Robins',0.4071465254002636,-0.5017312786444236,0.2918361962801054,-0.09298487727233086,-0.2152457962351167
5,Three-step-g,-1.3212803899464607,-1.0781859142126362,-0.24643870421457897,0.23341196702555733,0.11114928612640017
5,Three-step-ipw,-1.06776404183348,-0.5667706793723253,-0.1858103047704127,0.3198818796457698,0.11114928612641158
5,Robins',-0.7113734121658352,-1.0007927635882037,-0.04411487622653912,0.45930594115908147,0.11114928612694841
6,Three-step-g,-0.5659415829159283,-0.2384526632696999,-0.5433560123508022,-0.438590027143429,-0.02446083732983451
6,Three-step-ipw,-0.7103436310580914,-0.24191710722085455,-0.8271500680575278,-0.5799914670750294,-0.024460837329835658
6,Robins',-0.6430848369819921,-0.2478748903354534,-0.3916742962069745,-0.34873745761903296,-0.024460837329225788
7,Three-step-g,-0.9691105582181209,-0.12407135281781916,-0.049669825555726486,0.004845624739143997,-0.13871473091917585
7,Three-step-ipw,-1.5317857204582388,-0.6126911739136252,-0.3165708694641959,0.15613516045136921,-0.13871473091917683
7,Robins',-0.2730842010589515,-0.18600110947787576,0.036273084680786924,0.03582480168875514,-0.13871473091917302
8,Three-step-g,0.4421426402914348,0.967061479717725,-0.14242561430981157,0.08381862142201603,0.21459252672184803
8,Three-step-ipw,0.6232568455389388,0.6496177667599444,-0.044519598579914305,0.17597563909815805,0.2145925267218465
8,Robins',-0.3393814318047426,0.491371490918226,-0.23304335537595586,0.03738452090891034,0.21459252672184823
9,Three-step-g,-0.24254523767672265,1.2076643718218345,-0.3609899223522801,-0.31018699803304833,0.01591755634802665
9,Three-step-ipw,-0.06713562721644446,0.7986303293282303,-0.18154581361012265,-0.27211039542619153,0.01591755634802669
9,Robins',-0.4426932125796301,0.9440468721116737,0.057625286741542214,-0.31187581759002947,0.015917556347941297
10,Three-step-g,0.011618740910964372,0.06685691098462178,0.17764034110468985,0.08697054419950921,-0.2918570081047774
10,Three-step-ipw,0.021581647292094344,0.06488958710293603,0.06499653306999405,0.11755333979223476,-0.29185700810484283
10,Robins',0.21837177157926538,-0.12791653416996243,-0.2585162335825822,-0.09892494017261519,-0.291857008112613
11,Three-step-g,0.10447673892422349,-0.3562317729257178,0.552612533194449,-0.11934216323606325,0.10503414976434118
11,Three-step-ipw,-0.16574723316270087,0.05992977581172104,0.4400482293885796,-0.110790104497692,0.10503414976428721
11,Robins',0.42091638566962125,0.39765270375090334,0.61899671511554,-0.06445878451048785,0.10503414976433625
12,Three-step-g,-1.395960320426929,-1.2186413006982595,0.2539755984981346,0.12418241981160391,0.18118799833880264
12,Three-step-ipw,-0.8027664700595689,-1.0925409803402952,0.041983055066210966,-0.07120340327802574,0.18118799833879906
12,Robins',-0.5347168977705606,-0.8676145765125399,0.10325587883189795,0.08510010318918806,0.1811879983387519
13,Three-step-g,-0.07647899619931943,-0.7879248703970944,0.18511337215070867,-0.23392048347000674,-0.2901723142847584
13,Three-step-ipw,-0.0971810805185412,-0.877571421446062,0.3024414565145299,-0.36546049603063746,-0.2901723142849061
13,Robins',0.1488118203949574,-0.49187490690859875,0.19695373506785102,-0.30604566313167575,-0.29017231428474066
14,Three-step-g,-0.39128958589816143,-0.06978070959246063,-0.39685459319123595,-0.07378655989883434,-0.15258695417126575
14,Three-step-ipw,0.398640550053417,-0.6202909779630723,-0.7148828313323915,-0.07157930339701106,-0.15258695417217952
14,Robins',-0.09024411221190068,-0.04240608619937533,-0.2849951585706751,-0.04389392605631247,-0.1525869541720054
15,Three-step-g,-0.6569866533118999,-0.22932371949193175,0.972296154456669,-0.04266806174667001,0.04501890743072309
15,Three-step-ipw,-1.3104597707011205,-0.19986042895827394,0.8926199924506659,-0.08240127078411674,0.04501890743072372
15,Robins',-0.633834554909341,-0.29024994328783804,0.9879869327014554,-0.013734052218631094,0.04501890743127121
16,Three-step-g,0.998454015236318,1.7062541727504388,0.09851681401958741,0.060258797741413246,0.023852569454732964
16,Three-step-ipw,0.7529385820935028,1.728166630109663,0.0315190874962397,0.20107855758236423,0.023852569454733144
16,Robins',0.9029489185219058,1.2003744142532597,0.20242525141863718,0.16139030274401758,0.023852569454539306
