p_I1,p_I2,p_I3,p_I4,ph1,ph2,ph3,ph4,seconds
0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,5955.6789009571075
0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,8264.044268846512
0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,9993.701369047165
1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,6277.139441013336
1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,7998.687232017517
1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,9207.998285770416
