p_I1,p_I2,p_I3,p_I4,ph1,ph2,ph3,ph4,seconds
0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,10216.837533950806
0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,11356.47372508049
0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,11178.17928481102
1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,10380.97238779068
1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,11103.224744319916
1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,11759.186720848083
