id,est_psi03,est_psi13,est_psi23,method,p_I1,p_I2,ph1,ph2,seed,psi03,psi13,psi23,gamma13,gamma23
1,0.8964222066953768,0.5130711589109053,1.241736313443531,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
2,0.859018669248485,1.4487425623272259,0.8982361213639435,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
3,0.7068030426882727,1.4236133904020543,1.0756013049120876,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
4,1.1175934256675548,1.389585177313663,0.9375142707792593,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
5,0.632578036178208,1.1206983129965933,0.7865706881004694,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
6,1.1265931282771713,1.30478164159192,1.0436541131455683,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
7,1.4973355555335852,1.0305915445522325,1.187858180363536,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
8,0.8185104977269143,1.3581875086257458,1.0108236210346138,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
9,0.6900839634522599,0.8837462861202732,1.0801367906704757,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
10,0.7095945238035392,1.1327000369071605,1.219480146867271,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
11,1.2208334835568084,1.564437279163032,1.261733334275767,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
12,0.902070668484032,1.0490061458682503,1.1787779229985227,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
13,1.3162722224308057,1.2630626959629274,1.0002669127844257,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
14,0.5921413303149274,0.7767673929494088,0.8905948308197978,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
15,0.8465174602916195,0.9146755108664445,0.9535112480214,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
16,1.0321314444918421,1.0848066303810338,0.7608760649596465,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
17,1.3831126225872892,1.7718165205032654,0.8613079454896734,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
18,1.2239744143847309,0.8016263152690685,0.9652661818459859,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
19,0.802981129649418,1.3459501985500533,0.9237655665728353,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
20,1.007028712478105,1.772548748108429,1.1359333523554005,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
21,1.0373231431687115,1.2034718513947,0.9407918795244434,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
22,1.1091113050579726,1.2997700763684534,1.1697316812289131,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
23,0.9733501859531821,1.3220027501084053,1.264408697352216,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
24,1.341757791964281,1.109169893013983,0.851004507765593,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
25,0.9780737745602689,1.5926606775627796,0.7631796691710897,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
26,1.0149503448692716,1.2815910930239418,0.84011277196195,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
27,0.9474292546582117,1.379617511491683,1.0075831732002716,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
28,0.8269283033935394,0.9889997025352691,0.8887190673832429,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
