p_I1,p_I2,ph1,ph2,gamma13,gamma23,seconds
0.2,0.2,0.5,0.5,correct,correct,1222.4811010360718
0.2,0.2,0.5,0.5,correct,wrong,1186.3935759067535
0.2,0.2,0.5,0.5,wrong,correct,1218.7172718048096
0.2,0.2,0.5,0.5,wrong,wrong,1194.847225189209
1.0,1.0,0.5,0.5,correct,correct,1226.2889411449432
1.0,1.0,0.5,0.5,correct,wrong,1241.6363370418549
1.0,1.0,0.5,0.5,wrong,correct,1264.6200067996979
1.0,1.0,0.5,0.5,wrong,wrong,1208.0311748981476
