id,est_psi03,est_psi13,est_psi23,method,p_I,ph,seed,psi03,psi13,psi23,sigma
1,-1.918781097576323,1.1839586558669095,-8.283681420091742,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
2,5.259908229978481,8.021438697915782,-0.19264782784538229,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
3,-6.176587515284574,-5.2002082426749485,2.4357637872677387,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
4,-1.8249879193724023,1.4366538775151507,-1.0546288471650318,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
5,-1.4123025086452614,-2.413757207484626,3.228283695298581,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
6,-7.864123289107786,-1.9066443706379956,4.746032816527194,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
7,1.8070534895717472,3.871521023672891,-0.5536687566559297,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
8,-3.5977611995471173,3.1590724973050013,0.8453277900215196,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
9,-1.8129736698614303,4.726391611720958,2.1628040729401063,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
10,0.6475925829294524,-1.9709269790958042,-2.492186237107769,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
11,5.110426952807185,-3.4974909003797063,5.189016854275864,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
12,10.364374308015881,1.6981577279344875,3.6668023720556953,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
13,1.0381129938061706,-4.549911059348533,1.101354466420207,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
14,1.950235063651596,7.149984859562835,8.409090955663853,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
15,-4.202223468210433,4.985542979071134,4.671313157577677,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
16,9.053059267121128,7.804859877083489,4.206338172689698,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
17,-4.56590875193137,0.39388959186062805,3.841534468829017,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
18,5.073254047038324,-4.908068455434441,3.0042379530365237,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
19,-2.9181650479789347,-7.049636167847319,3.47374814077821,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
20,-1.314855091967652,-4.534454294924067,5.190294190790323,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
21,1.1013591211753175,4.748142114892057,-5.005524111431238,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
22,0.27363363765970944,-1.3033186537105124,7.191408926845394,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
23,-4.827079703675333,-8.065909624212322,3.5923213652457515,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
24,3.2822988499480195,4.258725118625272,2.218311705102489,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
25,-2.164838304290301,-4.642301537267691,-5.161698991492527,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
26,-6.166471564241832,0.1442873818016494,-1.9184414764725686,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
27,2.28948042762477,-1.9043805228691368,0.9820092899004504,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
28,-0.9722557673180791,3.9262878913376236,-2.485396383169141,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
29,4.178292154606223,-7.392277941277263,0.4469652486429173,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
30,4.209809672735164,1.6596732335047537,2.5350391158194427,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
31,-7.445114820688449,3.937166315556469,-4.159398722164193,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
32,-0.3904377117388277,-5.74735838295248,-3.090839306083327,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
33,5.840545871566331,4.375969051029963,0.8691241759938952,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
34,-0.6967641093749923,5.190778327202337,1.3437714425890228,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
35,3.640264975537276,-3.2471330565604153,-12.831267220441045,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
36,-0.018268046025324978,7.39342677001312,3.5253174069571043,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
37,3.029082298782604,3.418012734515445,5.066193024061854,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
38,0.9121435844043322,5.171312890046601,-7.647964086447139,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
39,1.9180431036633374,-6.715465363319185,-6.462975162756421,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
40,5.060747134876903,-6.434326208004325,-2.58485061022345,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
41,2.737585560914241,0.6443508710499063,-2.7045574096615392,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
42,5.195370819700642,3.9023570688597977,2.181973142011665,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
43,-5.269197884398203,-3.361916429652649,0.21875923868579047,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
44,-2.729787657544428,5.2029013012826875,5.921169530230014,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
45,6.170762302980698,-0.7808896615046258,6.38583049283076,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
46,2.599057208470534,2.450769307318638,0.42255654163279194,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
47,-0.3387583144618755,-2.01435516506146,9.75147321007322,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
48,0.3836855320841781,-0.8793676677902423,2.9930209833630808,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
49,-0.6936279856272262,-3.4454053955201935,-3.0167701250523242,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
50,-0.2805501091372912,7.408335866660723,12.726788694061757,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
51,2.372143859327698,1.4304796859564677,3.8583715193623704,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
52,-2.365390969965669,-3.381646947261811,0.39280210644751234,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
53,8.463650746768133,3.6977740471043856,5.619977308869885,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
54,-1.2542033175349074,4.728651531172051,-2.636576123710904,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
55,3.4129592965388835,4.193968950540363,4.755381795757702,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
56,-7.39624539326679,-9.849194695257378,-1.5382410606546488,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
57,-4.187920736331127,4.570162413125097,-3.648978409396499,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
58,-4.572335753308967,-1.921473123825753,1.5660995068219652,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
59,-2.844063128617058,-3.8553369183171817,-2.773260686954853,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
60,-5.74055667845037,2.9094172036867545,-2.3157666834168134,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
61,7.856780717098934,1.6874437738437853,-2.787823674819443,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
62,11.829038391963387,4.060400010540736,-5.926180956431913,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
63,-7.271185460137292,12.908350023591689,0.6069691564174913,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
64,-2.8847106038056762,2.590937886994262,4.89860295381574,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
65,-5.191197492332538,-8.51228302264235,-4.4765660377212075,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
66,-2.4005760052469842,-4.281409191849326,1.9077007217063775,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
67,0.1145897400603208,4.186467711561732,2.879446160634775,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
68,5.219111756898261,-2.3577491135088815,-4.9377856549230845,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
69,-5.080037817544134,-5.722880448316277,-10.438569596876032,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
70,6.019548625463985,6.436502540121007,1.5928519304988378,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
71,5.359771334918475,2.516026090844486,-1.5055072551758504,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
72,3.0423651917990484,3.274191023911525,-0.7497017377303257,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
73,-4.4736569737217,-2.003950576031397,2.885458315385258,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
74,0.28135556856046434,-2.89405618366199,0.8103781194796181,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
75,3.684690412695463,-1.4793269711101515,-2.417176584926965,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
76,-11.772128314855042,6.215291757918588,4.762027530455965,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
77,13.072086888238449,7.12186675196972,-6.1065810298440235,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
78,-3.372384731004109,4.700555231509114,-4.977139191942887,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
79,4.869415361271551,1.758673546902668,-4.800498518189206,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
80,2.0134840214038814,3.1714630027178132,1.3562970401716838,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
81,0.6425693366514463,0.13850142906097912,9.297942431522078,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
82,-1.7672556369223007,-9.822969298512906,3.370392047677127,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
83,1.4121696396963948,1.3611370697292162,7.122362776567696,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
84,-1.9042780483479753,-7.925868911309623,-3.176589679283535,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
85,3.6348689252665163,4.7873926550820824,7.033128362271073,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
86,5.276793179869806,4.183250690050059,1.2430515076932345,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
87,-6.228750190425804,-0.8071407646457653,6.57936043067641,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
88,0.9199527386801303,3.561750429620236,-2.30275011536118,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
89,-1.5135444766864703,-0.6100862205927075,-6.763212339409863,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
90,-4.694562572193929,2.3602594168540523,8.522603572021291,Three-step,0.25,0.4,3411,1.0,1.0,1.0,10
