p_I1,p_I2,p_I3,p_I4,ph1,ph2,ph3,ph4,seconds
0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,7.997189044952393
0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,6.508376121520996
0.2,0.2,0.2,0.2,0.8,0.8,0.8,0.8,6.2389209270477295
1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,6.873558044433594
1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,6.348810195922852
1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,5.790277719497681
