ph,p_I,seconds
0.4,0.25,1113.1085789203644
0.4,0.5,1114.3482480049133
0.4,0.75,1113.8692951202393
0.4,1.0,1175.5628519058228
0.6,0.25,1202.9821643829346
0.6,0.5,1183.0454788208008
0.6,0.75,1224.2033710479736
0.6,1.0,1177.0689752101898
0.8,0.25,1249.675509929657
0.8,0.5,1254.6880798339844
0.8,0.75,1253.830847978592
0.8,1.0,1237.760339975357
