p_I,ph,method,n_kept,bias,var,se,z,sig
0.25,0.4,GMM estimator,300,0.00018623762123382015,0.06942597808710162,0.01521249246366306,0.01224241337694477,False
0.25,0.4,Simple g-estimator,300,0.07769607976848136,0.0714315983699686,0.015430661939783897,5.035174775500881,True
0.25,0.4,Three-step estimator,300,-0.03212879842712213,0.06602925678163546,0.014835684096308182,-2.1656432031413564,True
0.25,0.6,GMM estimator,300,0.025882205712485895,0.033079836338938996,0.010500767644786578,2.4647917740886207,True
0.25,0.6,Simple g-estimator,300,0.07760284001676365,0.03133439589214467,0.010219979760603683,7.593247915804066,True
0.25,0.6,Three-step estimator,300,0.0044871572865012865,0.035150130904607994,0.010824375409942136,0.4145419127259624,False
0.25,0.8,GMM estimator,300,0.007220717401118293,0.016591559052427405,0.00743674638813404,0.9709511423758594,False
0.25,0.8,Simple g-estimator,300,0.03833178521879099,0.020807071908928325,0.008328079392218498,4.602716114186788,True
0.25,0.8,Three-step estimator,300,-0.00019403748076041172,0.019667374262394687,0.008096784189292825,-0.02396475887513546,False
0.5,0.4,GMM estimator,300,0.05362594159588929,0.06830919684509856,0.015089642898922267,3.553824431439618,True
0.5,0.4,Simple g-estimator,300,0.1262942536710101,0.08240714791031618,0.016573789338421893,7.620119400107898,True
0.5,0.4,Three-step estimator,300,-0.030791053499054755,0.06369740729940841,0.014571365447274599,-2.113120668784946,True
0.5,0.6,GMM estimator,300,0.0562107475129765,0.031058834477183165,0.010174942174640465,5.5244291857572865,True
0.5,0.6,Simple g-estimator,300,0.09467688613913317,0.033172381094272424,0.01051544595571556,9.003601610226767,True
0.5,0.6,Three-step estimator,300,0.004213909076195899,0.03409299741484571,0.010660362316363942,0.3952876038488331,False
0.5,0.8,GMM estimator,300,0.02284407346962647,0.01813596775821526,0.007775167256124947,2.9380812935735725,True
0.5,0.8,Simple g-estimator,300,0.04882530104601446,0.018593359349429503,0.007872602142754221,6.201926651526808,True
0.5,0.8,Three-step estimator,300,-0.00026997405085749104,0.019246073776426217,0.008009592951876771,-0.03370633844685353,False
0.75,0.4,GMM estimator,300,0.053514008307873784,0.04913706219505594,0.012798054825513647,4.181417335483716,True
0.75,0.4,Simple g-estimator,300,0.09666770321419138,0.0542586780729513,0.0134485040150632,7.187989318805813,True
0.75,0.4,Three-step estimator,300,-0.031918787296219775,0.06345754136141488,0.014543903804391134,-2.1946506058835986,True
0.75,0.6,GMM estimator,300,0.05366447872338442,0.030804490167863706,0.010133194653853197,5.295909193156399,True
0.75,0.6,Simple g-estimator,300,0.07595788013801874,0.0354512013102101,0.010870633423772218,6.987438282291061,True
0.75,0.6,Three-step estimator,300,0.004115936225064898,0.03512004132603348,0.010819741421129786,0.38040985129523697,False
0.75,0.8,GMM estimator,300,0.02065382630570256,0.0191166335131511,0.007982613087861874,2.587351544960655,True
0.75,0.8,Simple g-estimator,300,0.03169638689372989,0.01845573648472333,0.007843412625620588,4.041147445206863,True
0.75,0.8,Three-step estimator,300,-7.4381080926611e-05,0.019475686249611792,0.008057229931271209,-0.009231594674731556,False
1.0,0.4,GMM estimator,300,0.00020093551578281854,0.040343895448442434,0.01159653618520669,0.017327201206783212,False
1.0,0.4,Simple g-estimator,300,0.01932628439412487,0.041600308879872594,0.011775724872220903,1.6411970051810434,False
1.0,0.4,Three-step estimator,300,-0.03209137458477185,0.06314638488935026,0.014508202839468697,-2.211946919949946,True
1.0,0.6,GMM estimator,300,0.012682828419078973,0.02558640472494134,0.009235151095125866,1.3733211604705335,False
1.0,0.6,Simple g-estimator,300,0.023708877558918928,0.02511850919467922,0.009150320430578597,2.591043421789739,True
1.0,0.6,Three-step estimator,300,0.003935545884564906,0.03464753444946487,0.010746710263993174,0.36620935969130414,False
1.0,0.8,GMM estimator,300,0.006866396303694566,0.019413067821954448,0.008044266658507878,0.8535764159971553,False
1.0,0.8,Simple g-estimator,300,0.012427069746802744,0.016521763130211434,0.00742108777521001,1.6745617520271237,False
1.0,0.8,Three-step estimator,300,2.1097283221971352e-05,0.019519146815436424,0.008066214894119881,0.0026155121700701125,False
