p_I,ph,method,n_kept,bias,var,se,z,sig
0.25,0.4,GMM estimator,300,0.1671297230493003,0.06801140888872279,0.015056715986420898,11.100011662571605,True
0.25,0.4,Simple g-estimator,300,0.21789205894181074,0.07472289218165658,0.015782151541288297,13.806232842953948,True
0.25,0.4,Three-step estimator,300,0.23703218435769324,0.09223202396659658,0.017533969313554054,13.51845552589529,True
0.25,0.6,GMM estimator,300,0.13927681548329218,0.05046259453991309,0.012969527688639126,10.738773132447532,True
0.25,0.6,Simple g-estimator,300,0.20602816621358322,0.07067240335472721,0.015348442196167359,13.423392653166474,True
0.25,0.6,Three-step estimator,300,0.21777033222455033,0.06387764631295902,0.014591966547037564,14.923987902697165,True
0.25,0.8,GMM estimator,300,0.1000339311953986,0.04727893064609685,0.012553741891842031,7.968455306573175,True
0.25,0.8,Simple g-estimator,300,0.20598773211485466,0.06120124228946938,0.014283001819116944,14.421879568701895,True
0.25,0.8,Three-step estimator,300,0.20866100170003432,0.05511876280397795,0.013554674815228625,15.394024906123494,True
0.5,0.4,GMM estimator,300,0.10283185638109638,0.03884288216526166,0.011378764163309017,9.037172658229364,True
0.5,0.4,Simple g-estimator,300,0.1356833421302983,0.046286023220362765,0.012421221520763403,10.923510373234151,True
0.5,0.4,Three-step estimator,300,0.15724204085674587,0.055540727959714625,0.013606460225411877,11.556425275331744,True
0.5,0.6,GMM estimator,300,0.10275351928210208,0.02352625145820262,0.00885555408735155,11.60328515511702,True
0.5,0.6,Simple g-estimator,300,0.13361140633793966,0.029263050926029086,0.009876411447826767,13.528335371987756,True
0.5,0.6,Three-step estimator,300,0.14525703819627478,0.024738869571784547,0.009080908466261245,15.995870758521082,True
0.5,0.8,GMM estimator,300,0.09220263217044233,0.02576053125180141,0.009266522406275436,9.950079234471094,True
0.5,0.8,Simple g-estimator,300,0.13684784554732854,0.028332772697149948,0.00971815700928764,14.0816664534791,True
0.5,0.8,Three-step estimator,300,0.1460501706106021,0.028458853174730497,0.009739755844771898,14.995259936520776,True
0.75,0.4,GMM estimator,300,0.04111425143031733,0.024402321343257732,0.009018928492021235,4.5586625358755,True
0.75,0.4,Simple g-estimator,300,0.06125844690793536,0.024676097466617513,0.0090693802556767,6.754424798716816,True
0.75,0.4,Three-step estimator,300,0.07626117810048405,0.029161731188862974,0.009859298688524617,7.734949564845374,True
0.75,0.6,GMM estimator,300,0.05601429921935419,0.01357109945471996,0.006725845536614699,8.328216714823295,True
0.75,0.6,Simple g-estimator,300,0.06769461258312082,0.01377343617490928,0.006775799134889129,9.990646303925372,True
0.75,0.6,Three-step estimator,300,0.08082581636410091,0.01484327715245376,0.007034030886211632,11.490682607399219,True
0.75,0.8,GMM estimator,300,0.05998041363147433,0.020834391690324857,0.008333545002043419,7.19746681835484,True
0.75,0.8,Simple g-estimator,300,0.0711915986387841,0.023319883985627773,0.008816628982709846,8.074695983963581,True
0.75,0.8,Three-step estimator,300,0.07866624174872405,0.02015675047736714,0.008196899917523117,9.597072373734054,True
1.0,0.4,GMM estimator,300,-0.010858378228628007,0.01891525584965259,0.007940456714331695,-1.3674752749460581,False
1.0,0.4,Simple g-estimator,300,-0.0009242190368371483,0.019885134497162307,0.008141485224282341,-0.11351970941132755,False
1.0,0.4,Three-step estimator,300,-0.00338832982181414,0.02192891602840536,0.008549642493189478,-0.39631245686743444,False
1.0,0.6,GMM estimator,300,-0.0038301332374222063,0.010583384367391209,0.005939524214219859,-0.6448552273349533,False
1.0,0.6,Simple g-estimator,300,0.0032382729970528157,0.009903622857615823,0.005745613647997291,0.5636078573054696,False
1.0,0.6,Three-step estimator,300,0.006489525645735794,0.01101277926560727,0.006058817064303138,1.0710878999747775,False
1.0,0.8,GMM estimator,300,0.004172879265104346,0.014102202879323407,0.006856190117775179,0.6086294565090673,False
1.0,0.8,Simple g-estimator,300,0.007643638953148013,0.01485427577088863,0.0070366364528536484,1.0862631605826674,False
1.0,0.8,Three-step estimator,300,0.011886088212109902,0.016817488565403747,0.007487208773502479,1.5875192707561765,False
