id,est_psi03,est_psi13,est_psi23,method,p_I,ph,seed,psi03,psi13,psi23
52,0.13446272491354913,1.379027960789261,1.0303562234940105,Three-step,0.25,0.4,3411,1.0,1.0,1.0
53,1.1836374778836616,0.8972218838824559,1.111683455963146,Three-step,0.25,0.4,3411,1.0,1.0,1.0
54,-0.03028411640311543,2.030148801351248,1.1452240907869289,Three-step,0.25,0.4,3411,1.0,1.0,1.0
55,0.4214181348717071,0.5309986688322517,0.9973186021759385,Three-step,0.25,0.4,3411,1.0,1.0,1.0
56,0.6326688360463454,1.8668676347915534,-0.12065555259572087,Three-step,0.25,0.4,3411,1.0,1.0,1.0
57,1.7902898514015484,1.7991192965425058,1.6985456792156266,Three-step,0.25,0.4,3411,1.0,1.0,1.0
58,0.5437483761677107,0.06282685602129419,0.8526647410065323,Three-step,0.25,0.4,3411,1.0,1.0,1.0
59,0.7810199065390648,2.5426861986336236,0.3171992850059149,Three-step,0.25,0.4,3411,1.0,1.0,1.0
60,1.7464455143616051,1.5866320447319229,1.0319011491667454,Three-step,0.25,0.4,3411,1.0,1.0,1.0
61,1.3577185281243564,1.7335764653389478,0.6492987031719786,Three-step,0.25,0.4,3411,1.0,1.0,1.0
62,1.137899077643158,1.03046706777472,0.3307275399221406,Three-step,0.25,0.4,3411,1.0,1.0,1.0
63,2.1167413915846085,2.3479729112679717,0.8215225270926159,Three-step,0.25,0.4,3411,1.0,1.0,1.0
64,0.9040804320449495,1.4857267167642207,0.012036119881669475,Three-step,0.25,0.4,3411,1.0,1.0,1.0
65,0.45107465621122367,1.139605533518966,0.7944767988895962,Three-step,0.25,0.4,3411,1.0,1.0,1.0
66,1.453943184475365,1.4115047159605933,1.4219104229504749,Three-step,0.25,0.4,3411,1.0,1.0,1.0
67,1.0955153775094104,1.3203448395144677,1.3415237663281918,Three-step,0.25,0.4,3411,1.0,1.0,1.0
68,0.78971289460928,0.5485546874632052,1.0356632402257966,Three-step,0.25,0.4,3411,1.0,1.0,1.0
69,0.9658088738980655,0.4817283200105512,1.2314947921254624,Three-step,0.25,0.4,3411,1.0,1.0,1.0
70,1.3160493335886108,0.2336744687316047,0.7695295484538746,Three-step,0.25,0.4,3411,1.0,1.0,1.0
71,0.3370938126178542,1.268285374365583,0.9258787250889512,Three-step,0.25,0.4,3411,1.0,1.0,1.0
72,1.3521181553950135,1.8735711270700506,1.7374758892295101,Three-step,0.25,0.4,3411,1.0,1.0,1.0
73,0.48398674869753605,1.3213332873105241,1.315885586589641,Three-step,0.25,0.4,3411,1.0,1.0,1.0
74,0.9131580539452253,1.2202692621502393,1.1954187164881351,Three-step,0.25,0.4,3411,1.0,1.0,1.0
75,0.9109858287899323,1.5590313513448397,1.4847788131999353,Three-step,0.25,0.4,3411,1.0,1.0,1.0
76,1.4501643625175502,0.6812025478681846,0.664157238320376,Three-step,0.25,0.4,3411,1.0,1.0,1.0
77,0.4762486507325151,1.688840275996012,0.8072812987223161,Three-step,0.25,0.4,3411,1.0,1.0,1.0
78,-0.09894984543078743,1.2879911585956212,0.15239712855677418,Three-step,0.25,0.4,3411,1.0,1.0,1.0
79,2.065374815210137,1.6038927962523297,1.256995690048796,Three-step,0.25,0.4,3411,1.0,1.0,1.0
80,1.4989055018656587,1.6227638005980727,1.0577985782339645,Three-step,0.25,0.4,3411,1.0,1.0,1.0
81,1.302625106082817,1.1478129364552958,0.8318445848434832,Three-step,0.25,0.4,3411,1.0,1.0,1.0
82,0.972171557863988,0.6222684272010534,1.5683059344752626,Three-step,0.25,0.4,3411,1.0,1.0,1.0
83,0.9851811396025353,1.1056551139741018,1.34020300453628,Three-step,0.25,0.4,3411,1.0,1.0,1.0
84,1.324058204246388,0.9803312612596805,1.0182308096856127,Three-step,0.25,0.4,3411,1.0,1.0,1.0
85,1.1235206782183724,1.5298828360659567,1.026620313103209,Three-step,0.25,0.4,3411,1.0,1.0,1.0
86,1.9884018316430818,1.5789902718809397,1.0021765207249071,Three-step,0.25,0.4,3411,1.0,1.0,1.0
87,0.6805614556965914,-0.6568272298271335,0.8830021793637791,Three-step,0.25,0.4,3411,1.0,1.0,1.0
88,-0.237751492535209,0.8471966665293441,0.8757898846569249,Three-step,0.25,0.4,3411,1.0,1.0,1.0
89,0.6054949081891474,1.0514615955754263,0.5184504811455025,Three-step,0.25,0.4,3411,1.0,1.0,1.0
90,0.49389479572413425,1.9981717705272213,1.051480124811485,Three-step,0.25,0.4,3411,1.0,1.0,1.0
91,0.3748959558547917,1.9607564138514184,1.2129787679148012,Three-step,0.25,0.4,3411,1.0,1.0,1.0
92,1.1883653984080997,2.232832578914745,1.2086767894766868,Three-step,0.25,0.4,3411,1.0,1.0,1.0
93,0.7505688733031394,1.4353146702298043,0.9763705050550358,Three-step,0.25,0.4,3411,1.0,1.0,1.0
94,0.5525706053272266,1.0867222836514534,1.4024916068727722,Three-step,0.25,0.4,3411,1.0,1.0,1.0
95,2.2379110800804733,1.1233663917268353,1.1112141190995977,Three-step,0.25,0.4,3411,1.0,1.0,1.0
96,1.2138186119200929,0.9910209185714575,1.572946362278416,Three-step,0.25,0.4,3411,1.0,1.0,1.0
97,1.5575187411005593,0.04323888709818609,0.5133591550978597,Three-step,0.25,0.4,3411,1.0,1.0,1.0
98,0.44043359544827676,1.1925949181277358,0.23385497792435797,Three-step,0.25,0.4,3411,1.0,1.0,1.0
99,1.2859686346520018,1.7986868439040196,1.2291040369890287,Three-step,0.25,0.4,3411,1.0,1.0,1.0
100,1.593957105308271,1.2851376906114784,0.7322866464586284,Three-step,0.25,0.4,3411,1.0,1.0,1.0
1,1.4660917773377689,0.3651128248202238,0.90568093198499,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
2,0.7425624798640724,1.1777657800485695,1.0174199269618451,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
3,0.9298939129111791,1.6478232805706534,1.018104545806261,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
4,2.2722881852928616,0.7419189703717802,1.1461155604931008,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
5,3.30887785693145,2.2172683406785616,0.619355523681336,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
6,1.7570143180470523,2.1703321565569715,1.3994498019041208,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
7,1.3125502923207195,1.6743208688488591,0.8633648385537344,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
8,0.8964681246091537,0.9000863719392397,0.5534699103020326,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
9,1.1572996245392957,0.44479899919176874,0.4749098340539708,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
10,-0.22961009962138113,-0.022460344695225332,1.2461774044523233,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
11,0.06538754075002971,0.7708932775199375,0.7395524526957099,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
12,0.9983557457856853,1.0875224640129717,1.3773538133923593,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
13,1.8963897164137533,1.1443635474345464,0.8284776109595247,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
14,1.1644593348274321,0.9490307879171364,0.6421633467652386,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
15,2.4769340299333678,1.9448022338759752,1.6777434729728695,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
16,2.0711584764398863,1.6458354363564192,1.6840981271849347,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
17,2.6647499363117433,1.8188099850283144,1.2082413562879122,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
18,1.6741189938524184,1.5063834624459167,2.024439686705155,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
19,0.5388284750781507,1.2493692506094969,1.2292855531587323,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
20,1.836195304559421,1.8002831763069909,0.8284750650692517,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
21,1.7317021163348787,1.8364041485017835,1.3626789271644648,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
22,0.5744113896821816,1.415457801692749,1.0194367183927644,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
23,0.7611779414872667,1.2555284111781755,1.0227681688947978,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
24,1.1824821579840041,1.8272209332858071,0.5012676557587427,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
25,1.9878938217016857,1.7698489277741598,0.635326966576586,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
26,3.576237810284621,1.357492964527243,0.7883506752792099,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
27,1.2601496224678672,0.4846375550833875,1.1125860904118263,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
28,1.9175321847395614,1.0962292823371391,1.1098215179607411,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
29,1.6852152602500274,1.6636518609026536,0.8569106253634379,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
30,1.3379346305207334,1.6470458217848953,1.1797291528706193,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
31,1.082498214824512,1.6657710649250461,0.9489763168106592,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
32,2.2892866457800394,2.013885116424929,1.9514975815866642,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
33,0.8055634077983294,2.3524706531685187,0.27363319787763096,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
34,0.8691356423406101,0.6579699295049944,0.8467638767893272,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
35,2.3670825644902704,1.609097528576896,0.8818150746664303,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
36,0.7017668854950349,-0.039349738752433625,0.6648949262597049,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
37,2.175552216902983,2.4187548042131444,1.3117062614441193,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
38,0.5494632397751774,0.7265370101072816,1.1878839367658074,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
39,0.6627420361219569,2.04716821728062,1.2051169812980567,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
40,2.313627478482164,1.880803860406669,0.9263752247779414,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
41,2.1857384333747754,1.934619756617574,1.5194083804802387,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
42,0.9111904846759983,0.9479267087475512,0.2887912238302569,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
43,0.990811426521758,1.4763138743190207,0.5662559526041588,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
44,1.4550970769306797,0.09119515420908995,0.9520409538513686,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
45,0.3500280876367476,0.6139166452777665,0.8342770911926759,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
46,2.2036086982759335,0.6035180221244196,0.9252634984470881,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
47,2.0502260745708103,1.1389458908513963,0.9750299550709981,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
48,0.16744765792192012,1.073753842054536,0.4414295516354035,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
49,-0.06514742217649779,0.7884421463087933,1.3805160586002216,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
50,0.8949840297024266,1.0360388848498063,0.8105475959044885,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
51,0.45092071772517917,-0.5266142191798385,0.24029678854405234,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
52,0.22222927350810714,1.2408053468160072,1.0303562234901125,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
53,1.5067285872949108,0.5535457962958509,1.111683456000544,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
54,0.08706744136535546,1.5846355877561793,1.145224090779832,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
55,0.6919628134585948,0.358214073619315,0.9973186021430585,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
56,0.8465318898949598,1.8776309138559393,-0.12065555260211457,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
57,2.0372274357051596,2.0344857437965427,1.6985456788899826,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
58,0.6164486915708582,0.8513937395705046,0.8526647410118926,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
59,1.1875898794128217,2.181489920778258,0.317199284501272,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
60,1.6489607680408935,1.4841759243723678,1.0319011491667123,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
61,1.1646171038675392,1.885110265596852,0.6492987029859361,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
62,0.709379533315178,0.7634624205169915,0.33072753979850467,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
63,2.812475124314127,1.9750195156280872,0.8215225269661325,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
64,0.8824708955403089,1.345545402344401,0.012036119881669518,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
65,1.0102373772480524,1.0681315324798313,0.7944767988898026,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
66,1.2152022106362372,1.5566780421222035,1.4219104227499955,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
67,0.9872394001178866,1.2849076417368872,1.3415237657662136,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
68,1.2901528000044076,0.34379889014019255,1.0356632402221588,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
69,1.449637892128053,0.40955887432376453,1.2314947925277686,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
70,1.87004578403753,0.056236617535591435,0.7695295485720585,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
71,0.4017222748752905,0.7593714408265629,0.9258787250931769,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
72,1.3250419496666532,1.5872772099217651,1.7374758892754416,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
73,0.52321465239744,0.7396375794279619,1.3158855865825174,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
74,0.6623187911932452,1.3909933337493643,1.1954187164530827,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
75,0.7911888325709175,1.6989821928490842,1.4847788131986963,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
76,1.2678906988691598,0.8720471081929659,0.6641572382480067,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
77,1.2695248419242378,1.569302643331997,0.8072812987197949,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
78,0.4649043166851419,1.1532013590493908,0.15239712859607893,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
79,2.015505180506276,1.8886737230132433,1.256995689995471,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
80,2.477325048939021,1.724165951420598,1.05779857823247,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
81,1.2833178345562881,1.2247267480154373,0.8318445848261826,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
82,0.7381680561724697,0.8358650430698774,1.5683059344739154,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
83,1.2023925625963154,1.4430033124859185,1.3402030042592,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
84,1.206041839309073,1.066384119603923,1.0182308096032597,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
85,0.7381073261015957,1.1490513145032828,1.0266203131103209,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
86,1.8481142961616033,1.6501989217416284,1.0021765207203757,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
87,0.44158112428568375,-0.400874932603461,0.8830021793642423,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
88,0.17998092574722155,0.9279082675307458,0.8757898846573333,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
89,0.8607321998958921,1.2639824279975773,0.5184504812567967,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
90,0.31370455462987634,1.7802767826393462,1.0514801248139858,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
91,1.1160399182032046,2.0076531837563074,1.212978767920078,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
92,1.5191712425130717,2.2211810892496517,1.208676789474007,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
93,0.7384014445726663,1.4670639474472777,0.9763705050360075,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
94,0.3908237523296906,0.8510851075701932,1.402491606861614,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
95,1.8700002966736002,1.2058442971851697,1.1112141190825344,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
96,0.9103297879334487,0.9393868951665603,1.5729463622531736,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
97,1.2749333224960415,0.4562299182593689,0.5133591550836091,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
98,0.5969490701526522,1.2743263885927785,0.23385497784866605,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
99,1.2665399204100345,1.7730997889605615,1.2291040369893071,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
100,1.9158313519060743,1.1339829684572185,0.7322866464462506,Robins' estimator,0.25,0.4,3411,1.0,1.0,1.0
1,0.9678381579328107,0.30258989306698514,0.7584049338454112,GMM estimator,0.25,0.4,3411,1.0,1.0,1.0
2,0.6891201719377631,1.2123548286487598,0.9981123517453668,GMM estimator,0.25,0.4,3411,1.0,1.0,1.0
3,1.1456773475149513,1.8942267125038188,1.0116553364985523,GMM estimator,0.25,0.4,3411,1.0,1.0,1.0
4,2.175741912154987,0.6794420309540893,1.1280933849363328,GMM estimator,0.25,0.4,3411,1.0,1.0,1.0
